system:index,BSI,NDMI,NDVI,SOCI,sample_date,.geo
0,-0.020134070016533993,0.07146789607169345,0.08586691971786223,6.93433454064324E-5,2018-12-20,"{""type"":""Point"",""coordinates"":[22.72922449,45.93337585]}"
1,-0.001684915967830306,0.06384248859736572,0.098103574224973,6.120558734210955E-5,2018-12-19,"{""type"":""Point"",""coordinates"":[28.198854880000003,44.77273911]}"
2,-0.11569801291766645,0.34132096965747427,0.018841937121851598,5.064298397697721E-5,2018-12-19,"{""type"":""Point"",""coordinates"":[28.333738630000003,44.785671740000005]}"
3,-0.09498966566203221,0.27302551938292186,0.047869203185939624,5.607637079687207E-5,2018-12-19,"{""type"":""Point"",""coordinates"":[23.314151240000005,45.86112368999999]}"
4,0.0117179867978401,0.07831907610700052,0.1303113244958255,6.424553594325992E-5,2018-12-19,"{""type"":""Point"",""coordinates"":[28.181462420000003,44.720472300000004]}"
5,-0.015275889679227298,0.08288919241788212,0.1262935277235687,6.603654105534173E-5,2018-12-18,"{""type"":""Point"",""coordinates"":[27.902153249999998,45.37783064999999]}"
6,-0.00857100137104123,0.10539812364385567,0.06705974957526896,5.85591016754396E-5,2018-12-17,"{""type"":""Point"",""coordinates"":[22.83116171,45.59291307]}"
7,-0.054496973486173085,0.16179419981043955,0.08050708557575198,6.482480302794E-5,2018-12-17,"{""type"":""Point"",""coordinates"":[23.66215374,45.88955448000001]}"
8,0.008568135708037354,0.042646325874560284,0.04282327224385296,6.84635452661859E-5,2018-12-15,"{""type"":""Point"",""coordinates"":[23.3914774,45.9607984]}"
9,0.0049790114863875485,0.045974535024514554,0.07723133224396708,7.32916395132598E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[26.15296623,45.93910612]}"
10,-0.027172054071877214,0.09626950861642906,0.11601515265800366,6.67970020702112E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[26.2142416,45.96637006]}"
11,-0.12798288776043173,0.2478469411843358,0.011245946453437338,4.404864744837717E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[28.581556120000002,45.1289444]}"
12,-0.0741220030883948,0.2119210444026523,0.06571732217735715,4.3260609879831054E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[28.177478379999997,45.256149390000004]}"
13,0.0717453961812817,-0.025046188748581753,0.18160833918151606,9.277381221310492E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[26.179701370000004,46.02675927999999]}"
14,-0.0389968546951031,0.14537248920164836,0.08852009370321651,4.662526409912254E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[22.557445939999997,45.53489946999999]}"
15,-0.02835547863841575,0.08850733317001087,0.05741677402181278,5.4040797997342316E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[22.093041549999995,46.24475882]}"
16,-0.024175922645683256,0.14130933877674376,0.07372421088861711,4.88928560009901E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[26.110426019999995,46.14750266]}"
17,-0.017448754418898926,0.06496071707827192,0.05788648274813033,7.707871087882108E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[25.994794610000003,45.85323767999999]}"
18,-0.04146725485602823,0.11849349679203926,0.10823134076944388,6.932450983853656E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[25.93902395,45.84338366]}"
19,-0.049036411653574745,0.1336605460404261,0.13333576978885964,6.741096372460971E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[24.09886923,44.04069183000001]}"
20,-0.0060894108395910815,0.059853580315873456,0.07964450795792669,4.943650565298806E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[22.03475539,46.45157305000001]}"
21,-0.00645004165048672,0.09733570805405613,0.10323730842503427,4.829821884757279E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[21.980850919999998,46.330273180000006]}"
22,0.008246130544443711,0.03685028504974095,0.07452486371508506,5.131706195142289E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[21.949503410000002,46.42478295]}"
23,0.01248787805656601,0.04249613412416128,0.1363361207230079,7.991061473199847E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[26.201170600000005,46.09687125]}"
24,-0.07951031534505663,0.174091874808726,0.1184463466629451,6.945562827169054E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[25.78670384,45.77472721]}"
25,-0.029139712570220466,0.08975858318237287,0.06366655331232104,7.424651115907849E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[26.1090529,46.05595937]}"
26,-0.16367436325667367,0.2687855729423396,0.3520464377081244,7.968114207451662E-5,2018-12-12,"{""type"":""Point"",""coordinates"":[21.411712899999998,45.39277763]}"
27,0.01636717453608849,0.024810667421221202,0.17669610039400124,7.646297033928218E-5,2018-12-12,"{""type"":""Point"",""coordinates"":[21.45767984,45.24224979000001]}"
28,-0.08355700050993016,0.18040764715451857,0.24785309165796934,9.44077583267429E-5,2018-12-12,"{""type"":""Point"",""coordinates"":[21.50033244,46.05601819]}"
29,0.003375469555938291,0.04623621865175665,0.2163445303099347,7.94899290165224E-5,2018-12-12,"{""type"":""Point"",""coordinates"":[21.365752209999997,46.16144807]}"
30,-0.022987392350605835,0.10786933991684536,0.10501870117373538,8.339058106454372E-5,2018-12-12,"{""type"":""Point"",""coordinates"":[25.707710700000003,46.0432809]}"
31,-0.03927875592337617,0.0970128817736895,0.2875210526253289,9.434133907795263E-5,2018-12-12,"{""type"":""Point"",""coordinates"":[25.67715448,46.029504720000006]}"
32,-0.06678960147442625,0.13213944299417282,0.0025459011801968667,2.9666258558953487E-5,2018-12-11,"{""type"":""Point"",""coordinates"":[25.781911979999997,46.38057031]}"
33,0.015590149972259121,0.004259608122962632,0.0802148417380061,8.400237978287506E-5,2018-12-11,"{""type"":""Point"",""coordinates"":[24.40696359,44.05267033]}"
34,-0.07333040391600121,0.153644901329317,0.19165634031771747,7.315514451467985E-5,2018-12-11,"{""type"":""Point"",""coordinates"":[24.250663920000004,44.03796288]}"
35,0.035236668352163686,0.015670564304310297,0.12532749011505198,8.277720287465432E-5,2018-12-11,"{""type"":""Point"",""coordinates"":[25.245529249999997,46.27602906]}"
36,-0.06075267148152994,0.21481277318809383,0.0883569395544743,6.287365500157928E-5,2018-12-11,"{""type"":""Point"",""coordinates"":[25.286307350000005,46.23350622]}"
37,0.07473561868708821,-0.055094763109489284,0.12406216842462194,8.363819724300306E-5,2018-12-11,"{""type"":""Point"",""coordinates"":[27.00155297,44.77489119]}"
38,-0.05600464598201545,0.158201661481794,0.13730354599852476,8.069192793630308E-5,2018-12-11,"{""type"":""Point"",""coordinates"":[21.2596505,45.28193522000001]}"
39,-0.0725630410113617,0.18871501064614246,0.07529947493356047,8.013356841968888E-5,2018-12-11,"{""type"":""Point"",""coordinates"":[25.29650757,46.268662070000005]}"
40,-0.01839341108625025,0.11889676224630202,0.0862682316393341,7.121898025330132E-5,2018-12-11,"{""type"":""Point"",""coordinates"":[25.30157739,46.19466120999999]}"
41,0.050815077867203705,0.001558332695114789,0.15925067927067485,7.823727435783844E-5,2018-12-11,"{""type"":""Point"",""coordinates"":[25.34747331,46.26127086000001]}"
42,-0.08825473991406038,0.2809491005289172,0.09344130181299534,5.894871414221051E-5,2018-12-11,"{""type"":""Point"",""coordinates"":[25.449671719999998,46.33798358]}"
43,-0.00660744611470942,0.06506863651512378,0.13660448475336567,6.963522530868543E-5,2018-12-10,"{""type"":""Point"",""coordinates"":[22.190298469999995,46.32465086]}"
44,-0.08639765073615306,0.18113893910585646,0.04074881362987162,4.0275438678583296E-5,2018-12-10,"{""type"":""Point"",""coordinates"":[25.34517361,47.25070173]}"
45,0.052378364615843345,0.020627657674239634,0.10208780951063587,5.5097042881843216E-5,2018-12-10,"{""type"":""Point"",""coordinates"":[23.8608688,44.621391169999995]}"
46,-0.03695741234117536,0.09268144343775955,0.08018763814017538,6.562190125873446E-5,2018-12-10,"{""type"":""Point"",""coordinates"":[26.889440869999998,45.25304225]}"
47,-0.06597582356155855,0.19154072920897453,0.03939705160990956,4.732549881495951E-5,2018-12-10,"{""type"":""Point"",""coordinates"":[26.55570079,46.46414583]}"
48,0.0056354242589567675,0.06585308431931165,0.11470555194694065,6.717108579797915E-5,2018-12-10,"{""type"":""Point"",""coordinates"":[22.16055712,46.30985618]}"
49,-0.09965996595443542,0.27318906197356846,0.03532140519963221,4.774989494560035E-5,2018-12-09,"{""type"":""Point"",""coordinates"":[26.63639931,46.80055050000001]}"
50,-0.014077042893942737,0.06274062208339416,0.20478647274398054,9.452039947217615E-5,2018-12-09,"{""type"":""Point"",""coordinates"":[20.98840888,46.11034237]}"
51,-0.11527530581406925,0.23051647182392038,0.35903117130631984,7.320423106885636E-5,2018-12-09,"{""type"":""Point"",""coordinates"":[21.13500694,46.18591311]}"
52,0.024394304498024672,0.05272978365382624,0.2246183092000163,7.24603485392675E-5,2018-12-09,"{""type"":""Point"",""coordinates"":[21.220003920000003,46.34053600000001]}"
53,-0.018287091561009095,0.10221030266927646,0.11394957333750755,5.3946694496178646E-5,2018-12-09,"{""type"":""Point"",""coordinates"":[21.9186964,45.70034492]}"
54,0.03227019262054692,0.0036465803290838795,0.1227366434685562,8.209952871370857E-5,2018-12-09,"{""type"":""Point"",""coordinates"":[21.30393717,46.24076403]}"
55,,,,,2018-12-09,"{""type"":""Point"",""coordinates"":[21.407616040000004,46.35693911]}"
56,-0.09247716350995422,0.17868451256845538,0.322601061965619,9.169236131179736E-5,2018-12-09,"{""type"":""Point"",""coordinates"":[20.88203715,46.23030572]}"
57,-0.09683520429664189,0.20127392566204072,0.33028887976540455,7.742310894860161E-5,2018-12-09,"{""type"":""Point"",""coordinates"":[21.29269177,45.44203174]}"
58,0.03980396550846418,0.005195324131496862,0.14961652572929246,7.137169835964399E-5,2018-12-09,"{""type"":""Point"",""coordinates"":[26.40535364,46.83644281]}"
59,-0.09265047039513126,0.23324760935579206,0.0416653847333079,5.570094797746035E-5,2018-12-09,"{""type"":""Point"",""coordinates"":[26.533747210000005,46.81656351]}"
60,0.04627923426432214,-0.04117104649176622,0.11183623388867697,9.560348990828659E-5,2018-12-08,"{""type"":""Point"",""coordinates"":[24.534249560000003,44.0529731]}"
