system:index,BSI,NDMI,NDVI,SOCI,lat,long,sample_date,.geo
0,-0.01966528085159009,0.06985667405922165,0.22361523125480376,9.008366966346925E-5,45.88684934,22.5088857,2018-12-20,"{""type"":""Point"",""coordinates"":[22.508885699999997,45.88684933999999]}"
1,0.010774264515106798,0.03168399200532667,0.20289642460283203,8.345318230311077E-5,45.93337585,22.72922449,2018-12-20,"{""type"":""Point"",""coordinates"":[22.72922449,45.93337585]}"
2,0.01708062087249538,0.036265634119722945,0.10702351084640804,7.283063287177484E-5,44.7204723,28.18146242,2018-12-19,"{""type"":""Point"",""coordinates"":[28.181462420000003,44.720472300000004]}"
3,0.012555663349921297,0.019563518666089217,0.1933663164067247,8.028359159244431E-5,45.86112369,23.31415124,2018-12-19,"{""type"":""Point"",""coordinates"":[23.314151240000005,45.86112368999999]}"
4,-0.025808831239465355,0.13234275325470798,0.11927218160381775,7.054519134601924E-5,44.78567174,28.33373863,2018-12-19,"{""type"":""Point"",""coordinates"":[28.333738630000003,44.785671740000005]}"
5,0.04891512743012462,-0.009681893504201183,0.10591375034315922,7.984477908873557E-5,44.77273911,28.19885488,2018-12-19,"{""type"":""Point"",""coordinates"":[28.198854880000003,44.77273911]}"
6,-0.03208119032899574,0.14664901539170414,0.04414620485225822,5.682962399837335E-5,45.37783065,27.90215325,2018-12-18,"{""type"":""Point"",""coordinates"":[27.902153249999998,45.37783064999999]}"
7,-0.0564705755157962,0.11570659113078516,0.32769086014737464,8.88136776377051E-5,45.59291307,22.83116171,2018-12-17,"{""type"":""Point"",""coordinates"":[22.83116171,45.59291307]}"
8,-0.012033658805587367,0.05650788033751656,0.17884848147604337,8.277571619874086E-5,46.09103729,23.37159618,2018-12-17,"{""type"":""Point"",""coordinates"":[23.371596180000004,46.09103729]}"
9,-0.04299736585791993,0.0886675568526962,0.0684119310445976,5.612730555238134E-5,44.38122329,24.7987846,2018-12-17,"{""type"":""Point"",""coordinates"":[24.7987846,44.38122329]}"
10,-0.03094939529811117,0.07505176622759213,0.19990636930651182,8.818191011548017E-5,46.09747908,23.32058181,2018-12-17,"{""type"":""Point"",""coordinates"":[23.320581810000004,46.09747908000001]}"
11,0.0014490051324698029,0.030870138286377604,0.17675223974411594,8.550749065295844E-5,45.88955448,23.66215374,2018-12-17,"{""type"":""Point"",""coordinates"":[23.66215374,45.88955448000001]}"
12,-0.048121749999819316,0.08975167523402777,0.20471022861245902,9.314848047570024E-5,45.22066291,14.66846281,2018-12-16,"{""type"":""Point"",""coordinates"":[14.668462809999998,45.22066291]}"
13,0.03561266307643362,-0.009636041720014383,0.10923258034189894,6.809898743998504E-5,45.9607984,23.3914774,2018-12-15,"{""type"":""Point"",""coordinates"":[23.3914774,45.9607984]}"
14,0.04699655262121603,0.03804871350474571,0.17780911337378566,6.933797045734708E-5,45.96637006,26.2142416,2018-12-14,"{""type"":""Point"",""coordinates"":[26.2142416,45.96637006]}"
15,0.050124888553951696,0.02864569509566754,0.12273444654667273,7.784424542961437E-5,46.02675928,26.17970137,2018-12-14,"{""type"":""Point"",""coordinates"":[26.179701370000004,46.02675927999999]}"
16,0.023896050120737283,0.07124709827450917,0.10597374630750439,6.816718317138316E-5,45.93910612,26.15296623,2018-12-14,"{""type"":""Point"",""coordinates"":[26.15296623,45.93910612]}"
17,-0.07937950220711971,0.14319396850185281,0.13566492379553427,8.322932380834179E-5,45.40851887,28.0443136,2018-12-14,"{""type"":""Point"",""coordinates"":[28.0443136,45.40851887000001]}"
18,0.008069552524015308,0.057676560567484964,0.12200333966811497,7.43627790814369E-5,45.25614939,28.17747838,2018-12-14,"{""type"":""Point"",""coordinates"":[28.177478379999997,45.256149390000004]}"
19,-0.053796799114722696,0.09890580201986758,0.24138523967754869,1.1286753674144892E-4,45.1289444,28.58155612,2018-12-14,"{""type"":""Point"",""coordinates"":[28.581556120000002,45.1289444]}"
20,-0.0225951813036019,0.014782102963640657,0.10261168828286236,8.61487923181164E-5,44.92712332,21.67431559,2018-12-14,"{""type"":""Point"",""coordinates"":[21.674315590000003,44.92712331999999]}"
21,-0.044868162717052115,0.1082286915904738,0.22717990166937824,7.756738203724915E-5,45.53489947,22.55744594,2018-12-14,"{""type"":""Point"",""coordinates"":[22.557445939999997,45.53489946999999]}"
22,-0.010755634853897028,0.04539089013384357,0.08244124934009223,5.9495003901679305E-5,44.04069183,24.09886923,2018-12-13,"{""type"":""Point"",""coordinates"":[24.09886923,44.04069183000001]}"
23,-0.026057883053305975,0.07270534866716839,0.24620593680339103,9.683587890887856E-5,46.24475882,22.09304155,2018-12-13,"{""type"":""Point"",""coordinates"":[22.093041549999995,46.24475882]}"
