system:index,BSI,NDMI,NDVI,SOCI,sample_date,.geo
0,-0.04087486989295627,0.09843592852485337,0.14108454981564422,7.222640362213312E-5,2018-12-20,"{""type"":""Point"",""coordinates"":[22.72922449,45.93337585]}"
1,0.04538492799235596,0.011762272092910477,0.1065585037511824,7.074690349806657E-5,2018-12-19,"{""type"":""Point"",""coordinates"":[28.198854880000003,44.77273911]}"
2,0.09533400185818251,-0.0952635027961307,0.10903321061340765,8.168938787383214E-5,2018-12-19,"{""type"":""Point"",""coordinates"":[28.333738630000003,44.785671740000005]}"
3,0.016552220847547216,0.010451981097871136,0.14610036790954783,7.024487715165975E-5,2018-12-19,"{""type"":""Point"",""coordinates"":[23.314151240000005,45.86112368999999]}"
4,0.03732631982819161,0.02460572846359901,0.12532926399264077,6.852135219295464E-5,2018-12-19,"{""type"":""Point"",""coordinates"":[28.181462420000003,44.720472300000004]}"
5,0.07860700173890389,-0.06087021057848266,0.09436232517724108,7.20318594441107E-5,2018-12-18,"{""type"":""Point"",""coordinates"":[27.902153249999998,45.37783064999999]}"
6,0.03994056598993009,-0.021081059500343474,0.10994769572602922,8.227625596908758E-5,2018-12-17,"{""type"":""Point"",""coordinates"":[22.83116171,45.59291307]}"
7,-0.004808187345436399,0.03401662898747071,0.1364740685980727,8.337597724915525E-5,2018-12-17,"{""type"":""Point"",""coordinates"":[23.66215374,45.88955448000001]}"
8,0.033791815177553954,-0.020873647688331852,0.08041939249940137,7.120308527265725E-5,2018-12-15,"{""type"":""Point"",""coordinates"":[23.3914774,45.9607984]}"
9,0.10070946091988954,-0.05505397594125531,0.1864784553422666,6.870797214314194E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[26.15296623,45.93910612]}"
10,0.021792893269402112,0.010041511707182557,0.250099797177273,8.412636937023615E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[26.2142416,45.96637006]}"
11,0.004354795669901685,0.028085689323236407,0.1740441085402199,1.0096868769916678E-4,2018-12-14,"{""type"":""Point"",""coordinates"":[28.581556120000002,45.1289444]}"
12,0.05238790190385448,-0.006768795316418012,0.1637370822429657,7.195111573673785E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[28.177478379999997,45.256149390000004]}"
13,0.089395953371989,-0.10281371497343073,0.10637253185948439,9.001180594240983E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[26.179701370000004,46.02675927999999]}"
14,-0.02532318165032987,0.07214639468177017,0.1424343970725355,7.687940873960535E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[22.557445939999997,45.53489946999999]}"
15,-0.06274224043565663,0.12529889889689344,0.18503595787633717,8.124152516553155E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[22.093041549999995,46.24475882]}"
