system:index,BSI,NDMI,NDVI,SOCI,lat,long,sample_date,.geo
0,-0.08069457069761428,0.15798832335661162,0.2053827515651476,6.342416999467735E-5,45.93337585,22.72922449,2018-12-20,"{""type"":""Point"",""coordinates"":[22.72922449,45.93337585]}"
1,-0.040698081214613005,0.09904315514281554,0.29083877726582413,8.41384351108831E-5,44.77273911,28.19885488,2018-12-19,"{""type"":""Point"",""coordinates"":[28.198854880000003,44.77273911]}"
2,0.0476088840632631,-0.024436254508148268,0.13950553203401841,6.338608794628641E-5,44.78567174,28.33373863,2018-12-19,"{""type"":""Point"",""coordinates"":[28.333738630000003,44.785671740000005]}"
3,-0.0875015431353267,0.15189147962859353,0.3251851672374662,8.433912860763277E-5,45.86112369,23.31415124,2018-12-19,"{""type"":""Point"",""coordinates"":[23.314151240000005,45.86112368999999]}"
4,0.011645949424931967,0.019723094503029535,0.2605200160430779,8.479598326503214E-5,44.7204723,28.18146242,2018-12-19,"{""type"":""Point"",""coordinates"":[28.181462420000003,44.720472300000004]}"
5,-0.023093454931868408,0.07668377636271773,0.19012370524107622,7.373848940019346E-5,45.37783065,27.90215325,2018-12-18,"{""type"":""Point"",""coordinates"":[27.902153249999998,45.37783065]}"
6,-0.16435539369102484,0.25867271668163544,0.2972635559036295,6.829596809253178E-5,45.59291307,22.83116171,2018-12-17,"{""type"":""Point"",""coordinates"":[22.83116171,45.59291307]}"
7,-0.0678124777886526,0.12603534209240372,0.24629639913709142,7.627953083130732E-5,45.88955448,23.66215374,2018-12-17,"{""type"":""Point"",""coordinates"":[23.66215374,45.88955448000001]}"
8,-0.10028555891196844,0.17866859819358313,0.3113292061819204,8.873030584309227E-5,45.9607984,23.3914774,2018-12-15,"{""type"":""Point"",""coordinates"":[23.3914774,45.9607984]}"
9,-0.022557981355170214,0.0663612077558748,0.25214476909808503,7.899535909829003E-5,45.93910612,26.15296623,2018-12-14,"{""type"":""Point"",""coordinates"":[26.15296623,45.93910612]}"
10,-0.05637005102917826,0.11137028420172586,0.2570572418930445,8.26596886639489E-5,45.96637006,26.2142416,2018-12-14,"{""type"":""Point"",""coordinates"":[26.2142416,45.96637006]}"
11,-0.13475113165303865,0.23518021507463824,0.29094619281930156,7.118065047849907E-5,45.1289444,28.58155612,2018-12-14,"{""type"":""Point"",""coordinates"":[28.581556120000002,45.1289444]}"
12,-0.03241796783523426,0.08939568161302142,0.3088796719710032,8.42487520745231E-5,45.25614939,28.17747838,2018-12-14,"{""type"":""Point"",""coordinates"":[28.177478379999997,45.256149390000004]}"
13,-0.011935265619200613,0.06413742179891704,0.29865879260860717,8.789033454377205E-5,46.02675928,26.17970137,2018-12-14,"{""type"":""Point"",""coordinates"":[26.179701370000004,46.02675928000001]}"
