system:index,BSI,NDMI,NDVI,SOCI,lat,long,sample_date,.geo
0,-0.024324075171994742,0.08208174651677388,0.2637066468005663,8.119825793133786E-5,45.93337585,22.72922449,2018-12-20,"{""type"":""Point"",""coordinates"":[22.72922449,45.93337585]}"
1,-0.05373287926485177,0.15162954893675953,0.18940884030898125,6.215623794652023E-5,44.77273911,28.19885488,2018-12-19,"{""type"":""Point"",""coordinates"":[28.198854880000003,44.77273911]}"
2,-0.017939869576181912,0.09907603583358571,0.24438337350799508,7.289891539388297E-5,44.78567174,28.33373863,2018-12-19,"{""type"":""Point"",""coordinates"":[28.333738630000003,44.785671740000005]}"
3,-0.10255670591936723,0.18765292239051154,0.30439959308555486,8.333908979658026E-5,45.86112369,23.31415124,2018-12-19,"{""type"":""Point"",""coordinates"":[23.314151240000005,45.86112368999999]}"
4,-0.048579430315421286,0.14054883346425986,0.16919368164462908,5.557506814372426E-5,44.7204723,28.18146242,2018-12-19,"{""type"":""Point"",""coordinates"":[28.181462420000003,44.720472300000004]}"
5,-0.08590950947074057,0.1769640506602764,0.23848379994532962,6.76174160443548E-5,45.37783065,27.90215325,2018-12-18,"{""type"":""Point"",""coordinates"":[27.902153249999998,45.37783064999999]}"
6,-0.10302547007124231,0.18673112740753414,0.35369848203225,8.680823038295566E-5,45.59291307,22.83116171,2018-12-17,"{""type"":""Point"",""coordinates"":[22.83116171,45.59291307]}"
7,-0.10465289160834619,0.1765711579299482,0.29936786080806704,8.430157198797077E-5,45.88955448,23.66215374,2018-12-17,"{""type"":""Point"",""coordinates"":[23.66215374,45.88955448000001]}"
8,-0.1257574712337643,0.21866210571131517,0.347487186585214,9.063894987274365E-5,45.9607984,23.3914774,2018-12-15,"{""type"":""Point"",""coordinates"":[23.3914774,45.9607984]}"
9,-0.08708411136409473,0.15371863151247966,0.34830929346851164,9.361149071052957E-5,45.93910612,26.15296623,2018-12-14,"{""type"":""Point"",""coordinates"":[26.15296623,45.93910612]}"
10,-0.11060875973531178,0.19033971673088257,0.3914854595213998,8.987542583609585E-5,45.96637006,26.2142416,2018-12-14,"{""type"":""Point"",""coordinates"":[26.2142416,45.96637006]}"
11,-0.14980458306113628,0.2811174571193962,0.310953026972611,7.438984972972176E-5,45.1289444,28.58155612,2018-12-14,"{""type"":""Point"",""coordinates"":[28.581556120000002,45.1289444]}"
12,-0.12589171312914954,0.22163626493348015,0.36870041036605844,8.650993705183888E-5,45.25614939,28.17747838,2018-12-14,"{""type"":""Point"",""coordinates"":[28.177478379999997,45.256149390000004]}"
13,0.023232354418234492,-0.007940300336453763,0.12928148846974416,7.55956631480403E-5,46.02675928,26.17970137,2018-12-14,"{""type"":""Point"",""coordinates"":[26.179701370000004,46.02675927999999]}"
14,-0.06938154522012167,0.14570786049547751,0.29035558585628796,7.130691936033916E-5,45.53489947,22.55744594,2018-12-14,"{""type"":""Point"",""coordinates"":[22.557445939999997,45.53489946999999]}"
15,-0.10869750713882603,0.19097509529671391,0.33090801947433773,8.183895668758687E-5,46.24475882,22.09304155,2018-12-13,"{""type"":""Point"",""coordinates"":[22.093041549999995,46.24475882]}"
16,-0.030339412838395932,0.08195426073838712,0.31008680183081616,7.930598295370816E-5,46.14750266,26.11042602,2018-12-13,"{""type"":""Point"",""coordinates"":[26.110426019999995,46.14750266]}"
