system:index,BSI,NDMI,NDVI,SOCI,sample_date,.geo
0,-0.023298258363938014,0.12028994918000854,0.07647481468149218,6.560570326282966E-5,2018-12-20,"{""type"":""Point"",""coordinates"":[22.72922449,45.93337585]}"
1,0.01350525741562893,0.0284850656992961,0.06522065323747238,6.51097223335488E-5,2018-12-19,"{""type"":""Point"",""coordinates"":[28.198854880000003,44.77273911]}"
2,0.07538669266596988,-0.07599691777124472,0.09249353615511359,9.088973304808158E-5,2018-12-19,"{""type"":""Point"",""coordinates"":[28.333738630000003,44.785671740000005]}"
3,-0.01677483036381857,0.10570171560332485,0.10803850100625337,5.985813300950058E-5,2018-12-19,"{""type"":""Point"",""coordinates"":[23.314151240000005,45.86112368999999]}"
4,0.01492014053698135,0.030303219336608317,0.07585070921126372,6.14782202789205E-5,2018-12-19,"{""type"":""Point"",""coordinates"":[28.181462420000003,44.720472300000004]}"
5,-0.01653944953638215,0.12594615649645663,0.03600187298643673,7.820983721676552E-5,2018-12-18,"{""type"":""Point"",""coordinates"":[27.902153249999998,45.37783064999999]}"
6,0.01398446846340426,0.041574289419292934,0.15100414843214133,8.11833615476211E-5,2018-12-17,"{""type"":""Point"",""coordinates"":[22.83116171,45.59291307]}"
7,-0.03973461884269457,0.12480592042260745,0.10284885630886537,7.025199850551574E-5,2018-12-17,"{""type"":""Point"",""coordinates"":[23.66215374,45.88955448000001]}"
8,-0.001422826279705068,0.07904512839319427,0.06604471365351874,5.85450923113813E-5,2018-12-15,"{""type"":""Point"",""coordinates"":[23.3914774,45.9607984]}"
9,-0.13788122993269464,0.36744100343769265,0.0171683567697372,5.045059002083445E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[26.15296623,45.93910612]}"
10,-0.09720825104860754,0.24643283338007646,0.07498843835031746,7.331925290878527E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[26.2142416,45.96637006]}"
11,,,,,2018-12-14,"{""type"":""Point"",""coordinates"":[28.581556120000002,45.1289444]}"
12,-0.005569750712097933,0.06399051017562547,0.07653265031178791,6.177459142054431E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[28.177478379999997,45.256149390000004]}"
13,-0.06615287561991574,0.21546501302349885,0.020711276207152195,4.6835668190316494E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[26.179701370000004,46.02675927999999]}"
14,-0.061489686249617516,0.17875063073207445,0.09970738169457347,5.6046596372624324E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[22.557445939999997,45.53489946999999]}"
15,-0.021238902191688946,0.11982943574622028,0.14572302529751785,7.125398205671311E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[22.093041549999995,46.24475882]}"
16,-0.05053312930355139,0.17950165395717904,0.06665666271555654,4.2031206245608135E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[26.110426019999995,46.14750266]}"
17,-0.043755218214916854,0.1889728557661916,0.05578482995166425,6.370817463709714E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[25.994794610000003,45.85323767999999]}"
18,-0.07830088002724456,0.29716877251134055,0.07858541657027979,5.423405681304993E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[25.93902395,45.84338366]}"
19,-0.05366666951135957,0.1669916045039756,0.08218778030921335,5.2567456730510664E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[24.09886923,44.04069183000001]}"
20,-0.0024737617432816173,0.06574760778592184,0.1059398416014406,7.141605638748989E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[22.03475539,46.45157305000001]}"
21,-0.013875512867083025,0.1124385163722026,0.135160609526182,6.050601180002154E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[21.980850919999998,46.330273180000006]}"
22,-0.012871461636766118,0.09042204028734714,0.07109593235253255,5.903544683821267E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[21.949503410000002,46.42478295]}"
23,-0.08596230535107403,0.3023279553797951,0.09030412600723126,5.364533216731653E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[26.201170600000005,46.09687125]}"
24,-0.12040693401689596,0.33351439310729136,0.008156513859126894,5.1436091862589537E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[25.78670384,45.77472721]}"
25,-0.10245459795988972,0.3117163169571734,0.0076335429870674236,4.697944140638211E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[26.1090529,46.05595937]}"
26,-0.16070948858380532,0.29252228327428714,0.2943164389014031,7.747225873525275E-5,2018-12-12,"{""type"":""Point"",""coordinates"":[21.411712899999998,45.39277763]}"
27,-0.04799897395166513,0.15121585115553424,0.12062655062194215,6.502128849768611E-5,2018-12-12,"{""type"":""Point"",""coordinates"":[21.45767984,45.24224979000001]}"
28,0.0011505501910564276,0.06404150431380777,0.07927980479517638,6.621810139772491E-5,2018-12-12,"{""type"":""Point"",""coordinates"":[21.50033244,46.05601819]}"
