system:index,BSI,NDMI,NDVI,SOCI,sample_date,.geo
1,-0.0923412850184062,0.1669473024585698,0.3514437254830079,9.008808647916296e-05,2018-12-20,"{""type"":""Point"",""coordinates"":[22.72922449,45.93337585]}"
2,0.0550620114548548,-0.0280326783577459,0.156498897956719,6.992380270924758e-05,2018-12-19,"{""type"":""Point"",""coordinates"":[28.181462420000003,44.720472300000004]}"
3,-0.0621025333793059,0.1211543206460541,0.3473660405575964,8.838044250572022e-05,2018-12-19,"{""type"":""Point"",""coordinates"":[23.314151240000005,45.86112368999999]}"
4,0.0688981075424123,-0.0215868745269363,0.1257022988939436,5.437699508453666e-05,2018-12-19,"{""type"":""Point"",""coordinates"":[28.333738630000003,44.785671740000005]}"
5,0.0584885801528227,-0.022879566305522,0.1297414318695395,5.9242131580573016e-05,2018-12-19,"{""type"":""Point"",""coordinates"":[28.198854880000003,44.77273911]}"
7,-0.122554616211892,0.2000596960791474,0.3945253079833188,9.685087820758416e-05,2018-12-17,"{""type"":""Point"",""coordinates"":[22.83116171,45.59291307]}"
11,-0.0848916334355269,0.1513110601552016,0.3419940115824288,9.311011615935324e-05,2018-12-17,"{""type"":""Point"",""coordinates"":[23.66215374,45.88955448000001]}"
13,0.0366015722975134,0.0097918294801281,0.2030836122880554,7.350997093003844e-05,2018-12-15,"{""type"":""Point"",""coordinates"":[23.3914774,45.9607984]}"
14,-0.0914990949337546,0.1635408144343014,0.3829465934992045,9.155334052412446e-05,2018-12-14,"{""type"":""Point"",""coordinates"":[26.2142416,45.96637006]}"
16,-0.0291282824660091,0.090796184002614,0.2503746121963427,8.050882490635359e-05,2018-12-14,"{""type"":""Point"",""coordinates"":[26.15296623,45.93910612]}"
18,-0.0364690194957786,0.0943470155696074,0.2718355593283971,8.516933717894264e-05,2018-12-14,"{""type"":""Point"",""coordinates"":[28.177478379999997,45.256149390000004]}"
19,-0.0979584200489488,0.1606520659014275,0.3282344356219258,8.737544605404018e-05,2018-12-14,"{""type"":""Point"",""coordinates"":[28.581556120000002,45.1289444]}"
21,-0.1139801693403667,0.182374547067779,0.3623303532867689,8.679190875712843e-05,2018-12-14,"{""type"":""Point"",""coordinates"":[22.557445939999997,45.53489946999999]}"
23,-0.085799013838159,0.1521550472356463,0.3460112368408024,8.661837242734857e-05,2018-12-13,"{""type"":""Point"",""coordinates"":[22.093041549999995,46.24475882]}"
25,-0.050811724872869,0.1108571927497353,0.30846390820252,8.597742536816823e-05,2018-12-13,"{""type"":""Point"",""coordinates"":[21.949503410000002,46.42478295]}"
27,0.0089779502126752,0.037650963588115,0.2309327137543252,8.230326909945473e-05,2018-12-13,"{""type"":""Point"",""coordinates"":[26.1090529,46.05595937]}"
28,-0.0820889320687738,0.1529516385519149,0.2664570969948626,6.671025875939305e-05,2018-12-13,"{""type"":""Point"",""coordinates"":[26.110426019999995,46.14750266]}"
29,-0.0344232346012531,0.0815054485018951,0.2638129128679284,8.183303216921833e-05,2018-12-13,"{""type"":""Point"",""coordinates"":[22.03475539,46.45157305000001]}"
32,-0.0303009182428029,0.0915930299804761,0.3157969132013671,8.029801128114659e-05,2018-12-13,"{""type"":""Point"",""coordinates"":[25.93902395,45.84338366]}"
33,-0.0416964599193969,0.091251273934718,0.3337105902502291,9.172428833078528e-05,2018-12-13,"{""type"":""Point"",""coordinates"":[26.201170600000005,46.09687125]}"
35,-0.010613458214637,0.0536203211463013,0.2821894328606844,8.309396010065203e-05,2018-12-12,"{""type"":""Point"",""coordinates"":[21.45767984,45.24224979000001]}"
36,-0.0814977551198245,0.1298806821224051,0.2837095609182244,7.781191606818855e-05,2018-12-12,"{""type"":""Point"",""coordinates"":[21.365752209999997,46.16144807]}"
37,0.0651305608771248,-0.0393815018363256,0.1309806187912048,6.418603391764346e-05,2018-12-12,"{""type"":""Point"",""coordinates"":[21.411712899999998,45.39277763]}"
38,0.000247534163090748,0.0437393654705235,0.1184403163075343,6.111232747860902e-05,2018-12-12,"{""type"":""Point"",""coordinates"":[21.50033244,46.05601819]}"
39,-0.0430174574009106,0.09720481541771,0.2499820083873419,7.412493826695389e-05,2018-12-12,"{""type"":""Point"",""coordinates"":[25.707710700000003,46.0432809]}"
40,-0.0934363285968735,0.1620996381944688,0.328336726861133,8.16693145141167e-05,2018-12-12,"{""type"":""Point"",""coordinates"":[25.67715448,46.029504720000006]}"
41,0.0189938846340946,0.0221820767276582,0.2397857393574925,7.821186867401424e-05,2018-12-11,"{""type"":""Point"",""coordinates"":[21.2596505,45.28193522000001]}"
43,0.0788765536781349,-0.0811579007099117,0.1193243047163497,8.341291767510277e-05,2018-12-11,"{""type"":""Point"",""coordinates"":[24.40696359,44.05267033]}"
44,0.0272162162606267,0.0127261756365794,0.2084590361106363,8.087837951207523e-05,2018-12-11,"{""type"":""Point"",""coordinates"":[24.250663920000004,44.03796288]}"
46,-0.0650031384911003,0.1255379506909423,0.3339151914028738,8.707271304453265e-05,2018-12-11,"{""type"":""Point"",""coordinates"":[25.245529249999997,46.27602906]}"
47,-0.0517026437893055,0.104951118477137,0.3097204096491897,8.913226493751207e-05,2018-12-11,"{""type"":""Point"",""coordinates"":[25.286307350000005,46.23350622]}"
48,-0.0786344685575418,0.1377090627948443,0.307373747020437,8.352103659968921e-05,2018-12-11,"{""type"":""Point"",""coordinates"":[25.29650757,46.268662070000005]}"
49,-0.0690787059233666,0.1313790910286413,0.3259760911309656,8.57604348540297e-05,2018-12-11,"{""type"":""Point"",""coordinates"":[25.30157739,46.19466120999999]}"
50,-0.1074826616187124,0.1716400499728014,0.3497763495833568,8.758947231896319e-05,2018-12-11,"{""type"":""Point"",""coordinates"":[25.781911979999997,46.38057031]}"
51,-0.0582273904551079,0.1107520316921484,0.3067144246564971,8.907205596465751e-05,2018-12-11,"{""type"":""Point"",""coordinates"":[25.34747331,46.26127086000001]}"
53,-0.0488352162467844,0.0998867393405874,0.3316688560602051,8.254391743632111e-05,2018-12-11,"{""type"":""Point"",""coordinates"":[25.449671719999998,46.33798358]}"
54,-0.0058875280907809,0.0533304556160216,0.2528033511301297,8.763416769014573e-05,2018-12-11,"{""type"":""Point"",""coordinates"":[27.00155297,44.77489119]}"
55,-0.1229440215894551,0.2176936715197336,0.2443440269965391,6.413965929477585e-05,2018-12-10,"{""type"":""Point"",""coordinates"":[25.34517361,47.25070173]}"
57,-0.0738028886428345,0.1420479628573293,0.3399610848789631,8.517875453791299e-05,2018-12-10,"{""type"":""Point"",""coordinates"":[22.16055712,46.30985618]}"
58,-0.0316001760752082,0.0797891226877018,0.2592040727631907,7.488601085944107e-05,2018-12-10,"{""type"":""Point"",""coordinates"":[22.190298469999995,46.32465086]}"
61,-0.0408991058966258,0.0894000302352625,0.2736599730548038,8.251883135075801e-05,2018-12-10,"{""type"":""Point"",""coordinates"":[23.8608688,44.621391169999995]}"
63,-0.0480174698410181,0.1083024997283651,0.2650954640400555,8.079299688536104e-05,2018-12-10,"{""type"":""Point"",""coordinates"":[26.55570079,46.46414583]}"
65,-0.0524503918996323,0.1154550887255564,0.1731284676557001,6.827471761346754e-05,2018-12-09,"{""type"":""Point"",""coordinates"":[21.30393717,46.24076403]}"
66,-0.0147975469058791,0.0611402073790698,0.2571744733726936,8.013550709952919e-05,2018-12-09,"{""type"":""Point"",""coordinates"":[26.63639931,46.80055050000001]}"
67,-0.0489601168659061,0.095750496661529,0.2434810861996713,7.433299546782169e-05,2018-12-09,"{""type"":""Point"",""coordinates"":[21.220003920000003,46.34053600000001]}"
68,0.0074072220768725,0.0316516539251699,0.228411340152305,8.216687143018136e-05,2018-12-09,"{""type"":""Point"",""coordinates"":[26.533747210000005,46.81656351]}"
69,-0.0529618473573737,0.1102360349890965,0.2667302720092393,8.028143044224114e-05,2018-12-09,"{""type"":""Point"",""coordinates"":[20.88203715,46.23030572]}"
70,-0.025584914692574,0.0746176063087251,0.1950730478366215,6.848425544255103e-05,2018-12-09,"{""type"":""Point"",""coordinates"":[21.29269177,45.44203174]}"
71,0.0292501221607688,-0.0023229855762853,0.1308789261761056,7.842683323399117e-05,2018-12-09,"{""type"":""Point"",""coordinates"":[20.98840888,46.11034237]}"
72,-0.0644077854423025,0.1252178194199743,0.3518667856032905,9.246532419663247e-05,2018-12-09,"{""type"":""Point"",""coordinates"":[26.40535364,46.83644281]}"
74,-0.028223869594968,0.0698288679349681,0.1175955304373865,5.898969260907389e-05,2018-12-09,"{""type"":""Point"",""coordinates"":[21.13500694,46.18591311]}"
75,-0.0820096426151148,0.1492306152612573,0.3608601343348661,8.622535169898658e-05,2018-12-09,"{""type"":""Point"",""coordinates"":[21.9186964,45.70034492]}"
76,-0.0337777005407555,0.099883840238217,0.1935885025383888,7.055269605802732e-05,2018-12-08,"{""type"":""Point"",""coordinates"":[27.11991108,46.63172657]}"
78,-0.0754364375523067,0.1360618294135347,0.3551287007735587,9.26288026650108e-05,2018-12-08,"{""type"":""Point"",""coordinates"":[25.821562310000004,45.71444917000001]}"
79,-0.0071486958390273,0.0630273323525519,0.2665425212148369,7.43707280561365e-05,2018-12-08,"{""type"":""Point"",""coordinates"":[27.225552119999996,46.70658982]}"
80,0.0124430689315697,0.020312841396415,0.2115635305211945,8.151240573132246e-05,2018-12-08,"{""type"":""Point"",""coordinates"":[24.534249560000003,44.0529731]}"
82,0.029334426599966,-0.0035854726576634,0.0809419331998548,6.396556439830147e-05,2018-12-08,"{""type"":""Point"",""coordinates"":[21.270081729999998,46.08076765]}"
83,-0.0693287922537928,0.1331344491715427,0.1649666420784694,6.052421697608322e-05,2018-12-08,"{""type"":""Point"",""coordinates"":[21.204472030000005,46.14225204]}"
86,-0.0645445549695633,0.1223104222007383,0.3229142780562258,8.866536024086431e-05,2018-12-08,"{""type"":""Point"",""coordinates"":[26.92412693,46.77348565]}"
87,-0.0398100148194188,0.102935071876828,0.2031972643854089,6.680301564003848e-05,2018-12-08,"{""type"":""Point"",""coordinates"":[27.26610554,46.423979380000006]}"
88,-0.1052235232024243,0.1675222430872471,0.4052497977299661,0.00010016158205062693,2018-12-08,"{""type"":""Point"",""coordinates"":[25.77633074,45.7396134]}"
89,-0.0597762985422009,0.1202474440141887,0.3087115340143235,8.085660990784508e-05,2018-12-07,"{""type"":""Point"",""coordinates"":[24.912705330000005,46.50649126]}"
91,-0.0246785543062151,0.0585971251744345,0.2861740577985896,9.658922308209474e-05,2018-12-07,"{""type"":""Point"",""coordinates"":[23.22775759,44.86855651]}"
94,0.0518032120441464,-0.0259571066917052,0.1289308317470033,6.710924628815783e-05,2018-12-07,"{""type"":""Point"",""coordinates"":[27.802660239999998,44.43658183]}"
96,0.0680517265238136,-0.0402272150938888,0.1503899045583369,6.811864339580496e-05,2018-12-07,"{""type"":""Point"",""coordinates"":[27.35485715,44.32929489]}"
97,-0.0584339459928679,0.1220810728557601,0.2218747016565432,7.169047002518183e-05,2018-12-07,"{""type"":""Point"",""coordinates"":[26.963307199999996,46.39949465]}"
98,0.0663916296123162,-0.0186771005096818,0.1738626169499711,6.366647387593454e-05,2018-12-07,"{""type"":""Point"",""coordinates"":[24.83733229,43.75308278]}"
105,-0.001375233891723,0.0496302738856456,0.2148456223778317,7.325628663345326e-05,2018-12-07,"{""type"":""Point"",""coordinates"":[26.95513871,46.62144756]}"
106,-0.0509134989844428,0.1074185340669419,0.350406018839942,9.141966307328806e-05,2018-12-07,"{""type"":""Point"",""coordinates"":[23.835607439999997,45.13630983]}"
107,-0.0778932047878881,0.1410410860904364,0.3242184494693064,8.45709783915801e-05,2018-12-07,"{""type"":""Point"",""coordinates"":[22.2340322,45.8280317]}"
109,-0.057565677008299,0.1198740151008113,0.3290878120903935,9.102127196029584e-05,2018-12-07,"{""type"":""Point"",""coordinates"":[23.57059387,45.00685703]}"
110,0.0720978841751603,-0.0616324414028506,0.1057175683456575,7.261867518511036e-05,2018-12-06,"{""type"":""Point"",""coordinates"":[20.773761240000002,45.82356755]}"
111,0.0372297067527792,0.0147638198096371,0.1205726449111742,5.899744471337597e-05,2018-12-06,"{""type"":""Point"",""coordinates"":[27.23791897,45.03006199000001]}"
112,-0.0785420152101518,0.1485636301696505,0.3028184788023628,8.345924215723751e-05,2018-12-06,"{""type"":""Point"",""coordinates"":[24.76159809,46.82030774]}"
113,-0.0411826173924369,0.0975873951506152,0.2106860717873514,5.970989667051952e-05,2018-12-06,"{""type"":""Point"",""coordinates"":[21.21793185,45.83182204]}"
114,-0.0734314962567107,0.1402389340580919,0.33425426503291,9.227447906203058e-05,2018-12-06,"{""type"":""Point"",""coordinates"":[22.44057696,47.71587181]}"
115,-0.0371357757379793,0.080514595707779,0.0514975530588355,5.457870431927995e-05,2018-12-06,"{""type"":""Point"",""coordinates"":[21.152245250000004,45.76607618]}"
116,0.0088111501888203,0.0333833471909876,0.2162147321627642,6.716257976680059e-05,2018-12-06,"{""type"":""Point"",""coordinates"":[27.720974530000003,46.18271233]}"
117,-0.0901326934191299,0.1567020941267315,0.3024643034240046,8.227038243340894e-05,2018-12-06,"{""type"":""Point"",""coordinates"":[25.367495850000005,45.9652423]}"
119,0.049459463270462,-0.0284923792419874,0.0944443675746088,6.023941013352116e-05,2018-12-06,"{""type"":""Point"",""coordinates"":[27.61974769,46.19973217]}"
120,0.0277543716176948,0.0136564301960817,0.2271765365392269,8.002941044855248e-05,2018-12-06,"{""type"":""Point"",""coordinates"":[23.82576589,43.85860514]}"
121,0.0502372167736788,-0.0545330490724336,0.081785092572702,7.382601659080155e-05,2018-12-06,"{""type"":""Point"",""coordinates"":[27.524295370000004,46.23409832]}"
123,-0.0087840174585833,0.0610639852022943,0.2178358009036167,7.454981855721041e-05,2018-12-06,"{""type"":""Point"",""coordinates"":[22.414602840000004,47.60961981]}"
125,-0.0130370434440198,0.0788800722910362,0.1375043388761889,6.000082474214762e-05,2018-12-06,"{""type"":""Point"",""coordinates"":[27.845864930000005,46.23528379]}"
