sample_date,lat,long
2018-07-23,47.80960091,9.959969931
2018-07-22,46.25799356,18.8200001
2018-07-20,56.65396311,25.16652722
2018-07-20,62.57999674,22.96692152
2018-07-19,47.08797612,21.5411306
2018-07-19,47.10012533,21.59722891
2018-07-18,46.60674103,19.40422897
2018-07-18,56.18768342,9.887344732
2018-07-17,63.10670792,27.41762913
2018-07-17,50.04952799,12.47157662
2018-07-17,48.2434579,21.6149081
2018-07-16,53.18158019,8.938040009
2018-07-16,45.98408745,19.06098325
2018-07-15,53.16732024,7.861558712
2018-07-14,49.23707968,15.56613848
2018-07-13,53.79744508,12.95980205
2018-07-12,60.36461627,21.93825079
2018-07-12,47.34044954,12.84368625
2018-07-10,54.97961418,9.016386339
2018-07-10,46.17578832,18.93686438
2018-07-09,48.16953821,9.959686456
2018-07-09,49.10219356,17.55893586
2018-07-09,55.03541971,9.296464845
2018-07-09,60.88923758,27.63787738
2018-07-08,47.36186221,16.82356019
2018-07-07,47.84560385,10.01335273
2018-07-07,55.12176547,8.824900149
2018-07-06,54.90961706,9.298638825
2018-07-06,50.69714852,8.598756275
2018-07-06,50.71675829,8.739785451
2018-07-05,46.7470949,17.6376375
2018-07-05,51.1706342,10.75780136
2018-07-05,46.61994482,17.64551813
2018-07-03,48.24770047,22.08034637
2018-07-01,48.13982785,21.56366511
2018-06-30,46.90166405,20.88870713
2018-06-29,49.99476139,6.777580932
2018-06-29,46.8819066,21.25633378
2018-06-28,47.00040909,20.98917485
2018-06-28,60.76312668,21.97310864
2018-06-26,52.09378584,8.175882103
2018-06-26,49.958043,6.752151177
2018-06-26,51.7018123,8.423192545
2018-06-26,56.49324395,10.1459892
2018-06-25,48.80661512,15.87278002
2018-06-25,61.01837865,22.40595913
2018-06-22,60.7706493,26.47394983
2018-06-08,55.8055365,-2.910435428
2018-05-30,47.37097705,12.31576804
2018-05-23,52.37377179,-7.354732517
2018-05-21,53.14221949,-6.62035345
2018-05-19,47.24676456,17.20644694
2018-05-13,47.00697652,11.51106836
2018-05-13,47.22534899,17.25654116
