lat,long,silt%,clay%,sand%
34.69405399,32.58074834,48.87548,30.798668,20.325851
34.72196122,32.54419051,44.33387,34.784683,20.881447
34.74907271,32.73422089,48.091133,27.219765,24.689102
34.75968646,32.69219393,43.097702,31.428072,25.474228
34.78786217,33.31504002,41.502327,25.536749,32.960922
34.80149484,33.47897242,42.256702,32.1209,25.622398
34.80559651,32.4343771,52.31625,28.756367,18.927383
34.80780293,33.52664126,50.47567,32.68374,16.840591
34.81155738,33.36834496,39.08306,30.840042,30.076897
34.82508707,33.53234936,39.019142,32.916977,28.06388
34.85245379,32.47177817,49.753433,29.28406,20.96251
34.87143001,33.57049688,40.11775,30.897648,28.984604
34.87693323,33.54949732,38.910084,33.40913,27.680786
34.89451627,32.82603726,39.86921,22.707853,37.422935
34.89928866,32.5092367,46.699486,25.525896,27.77462
34.91069873,33.49219425,35.995438,26.2736,37.730965
34.92324711,33.15414405,37.686485,24.704832,37.60868
34.96404612,33.64696695,41.69806,29.502794,28.799149
34.97763773,32.42027008,34.962143,28.105896,36.931957
34.98924225,33.90708481,33.816757,36.08072,30.102524
34.99235719,33.61067677,49.375153,28.171305,22.453545
34.99858335,33.65849164,56.59899,36.54149,6.85952
35.00040142,33.86505833,39.03518,28.428274,32.536545
35.02065414,33.57436313,36.273754,28.537357,35.18889
35.02300312,25.21087256,42.551105,15.253136,42.19576
35.02322554,33.84985529,36.749546,24.818073,38.43238
35.02879473,33.82883122,29.69394,27.455915,42.850143
35.0325085,33.16695481,32.37596,29.755024,37.86901
35.03490069,33.8766991,34.304108,32.442165,33.253723
35.03538901,33.94559923,35.520653,27.274647,37.2047
35.03723961,25.12519681,46.381767,23.729773,29.888458
35.03902565,25.76881147,49.20735,27.788322,23.004326
35.06604001,33.10939675,35.144485,24.712315,40.143196
35.07900008,33.20500528,36.90848,27.977161,35.114357
35.08005253,25.200619,51.675095,24.964678,23.36023
35.09032412,24.9145403,36.930454,20.335663,42.733883
35.10817145,33.23743124,38.33163,30.868313,30.800056
35.1120186,25.34045258,29.702118,23.528326,46.769554
35.11796323,33.12634594,39.96176,33.627457,26.410782
35.13348757,25.10084427,47.97925,27.253048,24.7677
35.16559632,25.99657432,34.256386,20.47858,45.265034
35.20110117,25.359297,35.55333,16.09413,48.35254
35.20834813,25.09421766,53.039253,29.48191,17.478836
35.2119591,25.18382286,46.583717,36.179283,17.237
35.24754604,25.08016344,48.821983,28.365808,22.81221
35.28816482,23.64636864,35.62136,18.189377,46.189262
35.30900469,24.47080732,41.492134,26.265558,32.24231
35.32239362,25.07352816,54.80311,26.942917,18.253975
35.36399673,24.70406169,45.274277,22.196342,32.52938
35.36838199,24.90511304,49.04928,26.308878,24.641846
35.38084915,23.64164948,41.723778,22.238234,36.037987
35.43422267,24.14021707,37.21335,22.644146,40.142506
35.46066169,23.72331175,35.2164,20.718662,44.064934
35.48499139,23.68351798,48.98487,25.88611,25.12902
35.9178787,14.38124639,43.21425,25.789118,30.996635
36.25135201,-6.015987689,34.59259,42.142365,23.265045
36.28307763,-6.045834574,36.86559,35.94443,27.18998
36.41106634,-6.052527908,29.612022,27.05108,43.3369
36.45512909,-5.90403163,36.344563,32.25189,31.40355
36.46150514,-5.430036356,49.396698,36.668022,13.93528
36.48291006,-5.412130126,47.44989,25.966703,26.583405
36.483128,-5.955740421,40.548706,24.223036,35.228256
36.52129088,-6.055204922,38.11525,36.109665,25.775085
36.57656968,-5.840977587,34.69574,32.931164,32.3731
36.59680838,-5.391969997,35.960075,31.711775,32.328148
36.64281418,-5.992368545,13.996712,14.119981,71.88331
36.64704244,-5.085677015,24.449371,14.567791,60.98284
36.67438127,-6.340807857,20.468689,27.839748,51.691566
36.68305592,-5.865255503,25.391418,20.056293,54.55229
36.68345301,-6.183666264,39.57621,43.081192,17.342598
36.70186578,23.01710867,53.26743,27.248829,19.483742
36.71094588,-5.258353207,38.9831,23.182283,37.834618
36.73628946,-5.877434135,39.541443,42.355026,18.10353
36.74526991,-5.606641389,40.83336,40.91642,18.250221
36.76357878,-4.702619736,30.998955,49.57052,19.430527
36.76399804,-5.383591187,36.91919,25.327883,37.75293
36.76808161,22.80378914,40.57641,24.656858,34.76673
36.76826601,-6.226268618,36.54202,46.007084,17.450897
36.76972938,-5.68036453,23.77417,30.668617,45.557213
36.77450182,-6.296082763,35.645966,52.812164,11.54187
36.77450891,-5.977236243,42.480965,49.950943,7.5680923
36.78847971,-6.003230649,45.77638,47.72391,6.49971
36.78884558,14.81341337,58.02128,24.226412,17.752312
36.79771591,14.9921793,47.423664,40.62135,11.954987
36.80351219,-5.915621028,46.332672,50.280205,3.387123
