lat,long,clay%
45.93337585,22.72922449,26.512194
44.77273911,28.19885488,13.83776
44.78567174,28.33373863,16.60345
45.86112369,23.31415124,26.956392
44.7204723,28.18146242,15.818172
45.37783065,27.90215325,27.414051
45.59291307,22.83116171,27.455767
45.88955448,23.66215374,26.163412
45.9607984,23.3914774,33.858242
45.93910612,26.15296623,21.370205
45.96637006,26.2142416,22.51326
45.1289444,28.58155612,17.030655
45.25614939,28.17747838,19.44916
46.02675928,26.17970137,19.94777
45.53489947,22.55744594,26.12668
46.24475882,22.09304155,27.545603
46.14750266,26.11042602,18.991932
45.85323768,25.99479461,17.881401
45.84338366,25.93902395,22.779877
44.04069183,24.09886923,23.489016
46.45157305,22.03475539,36.832047
46.33027318,21.98085092,20.771456
46.42478295,21.94950341,27.353802
46.09687125,26.2011706,21.52932
45.77472721,25.78670384,20.735706
46.05595937,26.1090529,23.615957
45.39277763,21.4117129,38.017475
45.24224979,21.45767984,28.71105
46.05601819,21.50033244,29.651781
46.16144807,21.36575221,32.06715
46.0432809,25.7077107,16.941055
46.02950472,25.67715448,23.687025
46.38057031,25.78191198,20.387987
44.05267033,24.40696359,37.999878
44.03796288,24.25066392,26.395372
46.27602906,25.24552925,20.607672
46.23350622,25.28630735,20.866488
44.77489119,27.00155297,18.108885
45.28193522,21.2596505,32.995712
46.26866207,25.29650757,16.92857
46.19466121,25.30157739,23.551771
46.26127086,25.34747331,16.378193
46.33798358,25.44967172,16.659697
46.32465086,22.19029847,22.741327
47.25070173,25.34517361,17.102299
44.62139117,23.8608688,21.701277
45.25304225,26.88944087,15.940439
46.46414583,26.55570079,20.307518
46.30985618,22.16055712,23.051811
46.8005505,26.63639931,24.198656
46.11034237,20.98840888,27.541405
46.18591311,21.13500694,33.604347
46.340536,21.22000392,20.658836
45.70034492,21.9186964,27.40995
46.24076403,21.30393717,28.010004
46.35693911,21.40761604,27.025038
46.23030572,20.88203715,32.345062
45.44203174,21.29269177,41.782307
46.83644281,26.40535364,22.053385
46.81656351,26.53374721,18.228926
44.0529731,24.53424956,27.173807
46.08076765,21.27008173,26.214558
46.14225204,21.20447203,35.846043
45.7396134,25.77633074,23.037691
44.70046809,22.6751806,24.969557
46.42397938,27.26610554,18.889956
46.70658982,27.22555212,15.931298
46.63172657,27.11991108,20.512238
46.77348565,26.92412693,15.184418
46.86900982,26.90148576,17.915226
45.71444917,25.82156231,32.19584
46.62144756,26.95513871,21.084076
46.39949465,26.9633072,20.448057
45.8280317,22.2340322,31.641533
43.75308278,24.83733229,41.67651
44.32929489,27.35485715,27.463959
44.43658183,27.80266024,11.929017
44.96345109,23.19901159,14.293805
44.86855651,23.22775759,26.831533
45.00685703,23.57059387,29.249205
46.50649126,24.91270533,22.091146
45.13630983,23.83560744,22.416626
45.86329058,21.43301641,31.975513
46.38358109,26.71733765,25.068855
46.04900584,27.19631681,25.840605
47.57720417,22.37970627,22.359108
47.60961981,22.41460284,23.010153
47.71587181,22.44057696,30.249407
