sample_date,lat,long,elevation
2018-12-19,45.86112369,23.31415124,358
2018-12-18,45.37783065,27.90215325,6
2018-12-14,45.1289444,28.58155612,99
2018-12-12,46.0432809,25.7077107,664
2018-12-12,46.02950472,25.67715448,601
2018-12-11,44.77489119,27.00155297,60
2018-12-10,45.25304225,26.88944087,173
2018-12-08,44.70046809,22.6751806,91
2018-12-06,44.90961241,26.9653211,64
2018-12-06,44.81100016,27.11679978,54
2018-12-06,45.01981216,27.07796831,51
2018-12-06,45.03006199,27.23791897,42
2018-12-04,44.99242909,23.54122894,219
2018-12-04,45.03600006,23.34544909,215
2018-12-03,44.946114,27.73360019,17
2018-11-30,46.92106597,22.54289356,587
2018-11-25,43.99776816,24.01200725,108
2018-11-02,46.38642641,24.18824189,320
2018-11-02,46.47845536,24.31941239,364
2018-10-30,46.16988393,23.89256242,240
2018-10-30,46.02640411,23.59200205,297
2018-10-30,46.14792415,23.78129877,337
2018-10-29,45.8031421,23.19510386,254
2018-10-29,47.10770863,23.98284706,303
2018-10-29,45.69696169,23.16908116,402
2018-10-29,45.87559675,23.3439552,268
2018-10-26,46.57305676,24.15892498,338
2018-10-23,47.71443145,24.23170383,376
2018-10-20,47.9710347,23.2118736,182
2018-10-19,46.79883909,24.24708119,444
2018-10-19,46.78341594,23.94896118,423
2018-10-15,43.56534626,25.1169654,152
2018-10-15,43.53253297,25.33571383,182
2018-10-14,43.66795364,25.04291194,29
2018-10-13,47.80389138,23.0866081,129
2018-10-10,47.79114431,23.1919828,136
2018-10-06,43.94336697,22.45506229,323
2018-10-06,43.86601289,22.63992345,257
2018-09-29,51.24486392,9.813828196,405
2018-09-29,51.26291854,9.871061336,339
2018-09-27,60.77723393,24.74441423,82
2018-09-27,55.38720532,26.19770636,182
2018-09-26,48.88822082,13.50488,736
2018-09-25,64.67640588,25.57422406,37
2018-09-25,62.03064032,21.41807508,20
2018-09-24,55.09489541,25.46584477,172
2018-09-24,52.3619079,11.92323363,35
2018-09-24,60.29355049,23.52998146,36
2018-09-23,60.54980221,23.33923119,78
2018-09-22,60.31726898,23.28169282,30
2018-09-21,46.63570851,23.5369275,543
2018-09-20,52.44339671,8.808735641,44
2018-09-20,52.05241302,10.59769408,82
2018-09-20,55.47782385,11.50175387,34
2018-09-20,60.45207303,23.59552388,77
2018-09-20,46.56958473,23.62612266,544
2018-09-19,46.785413,23.36244531,498
2018-09-19,46.75802152,23.43537671,381
2018-09-19,55.77282844,25.76879663,105
2018-09-19,41.59078897,24.7155777,1128
2018-09-18,42.01580687,24.05823856,800
2018-09-17,51.24215158,9.183737771,275
2018-09-17,48.14154177,12.48516821,480
2018-09-15,51.17147808,9.385173128,217
2018-09-15,51.11769505,9.41445279,171
2018-09-15,51.06361642,9.386606227,189
2018-09-14,62.8707715,29.47829133,91
2018-09-13,60.50168356,23.83883645,53
2018-09-13,47.92754163,23.85498385,268
2018-09-12,44.40645848,25.85795715,91
2018-09-10,44.63814844,25.04756174,224
2018-09-10,44.6211483,24.65699855,249
2018-09-10,46.66894439,23.70526882,639
2018-09-09,47.43259187,21.3767582,87
2018-09-09,42.0985476,25.3580855,112
2018-09-09,47.4803287,21.44112113,104
2018-09-07,50.05495406,9.120353714,308
2018-09-07,50.03718487,9.148596822,329
2018-09-06,47.82756672,9.906563752,654
2018-09-06,55.62401782,8.714879183,31
2018-09-05,55.46693648,24.3483034,71
2018-09-05,55.52317462,24.33650855,61
2018-09-05,55.37162722,24.53952431,82
2018-09-03,47.91594783,10.60170692,657
2018-08-31,56.29556203,9.919308425,76
2018-08-31,55.5900515,24.23125726,52
2018-08-31,56.33145739,9.854620608,86
2018-08-30,55.98973803,12.16204384,17
2018-08-30,50.09174321,15.41320762,245
2018-08-30,56.02457128,12.22810731,19
2018-08-30,53.81453055,-6.545794944,129
2018-08-29,51.01010486,9.472807023,270
2018-08-28,49.22705733,15.01433491,521
2018-08-28,55.85356645,24.00150047,63
2018-08-27,52.37725516,10.22026452,63
2018-08-27,47.98889886,10.38831816,639
2018-08-25,45.63804548,25.72014305,627
2018-08-25,45.89020306,25.50412523,578
2018-08-24,52.430617,10.42635977,58
2018-08-24,53.39125652,8.391680622,-2
2018-08-24,49.25222939,14.85169399,476
2018-08-23,55.90044592,12.12516608,8
2018-08-23,45.47789187,26.74960946,441
