lat,long,sand%
45.93337585,22.72922449,24.26548
44.77273911,28.19885488,49.10498
44.78567174,28.33373863,34.485367
45.86112369,23.31415124,17.627243
44.7204723,28.18146242,63.087074
45.37783065,27.90215325,40.26422
45.59291307,22.83116171,28.369995
45.88955448,23.66215374,28.697098
45.9607984,23.3914774,17.853836
45.93910612,26.15296623,31.777534
45.96637006,26.2142416,36.00875
45.1289444,28.58155612,47.978455
45.25614939,28.17747838,54.891586
46.02675928,26.17970137,36.773846
45.53489947,22.55744594,29.157211
46.24475882,22.09304155,22.777405
46.14750266,26.11042602,39.03031
45.85323768,25.99479461,22.348022
45.84338366,25.93902395,28.030197
44.04069183,24.09886923,27.741135
46.45157305,22.03475539,21.01767
46.33027318,21.98085092,24.57331
46.42478295,21.94950341,18.141937
46.09687125,26.2011706,35.267418
45.77472721,25.78670384,33.450348
46.05595937,26.1090529,32.86785
45.39277763,21.4117129,7.3558197
45.24224979,21.45767984,25.742416
46.05601819,21.50033244,7.4298553
46.16144807,21.36575221,6.0361633
46.0432809,25.7077107,51.600067
46.02950472,25.67715448,41.074814
46.38057031,25.78191198,44.079872
44.05267033,24.40696359,17.543839
44.03796288,24.25066392,23.517418
46.27602906,25.24552925,33.759384
46.23350622,25.28630735,37.084145
44.77489119,27.00155297,25.392685
45.28193522,21.2596505,7.5833435
46.26866207,25.29650757,39.337326
46.19466121,25.30157739,31.08693
46.26127086,25.34747331,46.933445
46.33798358,25.44967172,52.190147
46.32465086,22.19029847,30.60611
47.25070173,25.34517361,44.594193
44.62139117,23.8608688,34.943047
45.25304225,26.88944087,36.661423
46.46414583,26.55570079,37.972248
46.30985618,22.16055712,45.12033
46.8005505,26.63639931,22.231483
46.11034237,20.98840888,15.568909
46.18591311,21.13500694,13.045494
46.340536,21.22000392,14.252541
45.70034492,21.9186964,17.933937
46.24076403,21.30393717,13.986305
46.35693911,21.40761604,30.40567
46.23030572,20.88203715,8.173363
45.44203174,21.29269177,6.2632065
46.83644281,26.40535364,25.49009
46.81656351,26.53374721,30.027039
44.0529731,24.53424956,27.058517
46.08076765,21.27008173,21.259766
46.14225204,21.20447203,14.925827
45.7396134,25.77633074,35.891945
44.70046809,22.6751806,37.232124
46.42397938,27.26610554,35.355606
46.70658982,27.22555212,22.27964
46.63172657,27.11991108,31.213257
46.77348565,26.92412693,46.418613
46.86900982,26.90148576,34.694504
45.71444917,25.82156231,21.725441
46.62144756,26.95513871,33.724365
46.39949465,26.9633072,39.320297
45.8280317,22.2340322,21.654274
43.75308278,24.83733229,17.170425
44.32929489,27.35485715,36.346878
44.43658183,27.80266024,72.114105
44.96345109,23.19901159,43.855587
44.86855651,23.22775759,22.379654
45.00685703,23.57059387,20.535278
46.50649126,24.91270533,23.011505
45.13630983,23.83560744,37.46273
45.86329058,21.43301641,9.394386
46.38358109,26.71733765,27.534897
46.04900584,27.19631681,32.59999
47.57720417,22.37970627,38.25637
47.60961981,22.41460284,27.785263
47.71587181,22.44057696,19.729355
47.51504388,22.44553955,10.059998
46.97534926,24.42986812,27.641151
47.01065156,24.57407369,32.5149
46.80638279,24.59697557,43.29007
46.84159984,24.6068858,42.90776
46.82030774,24.76159809,27.503624
45.9652423,25.36749585,26.056656
45.61669709,25.7401614,35.94146
46.23409832,27.52429537,31.080574
46.19973217,27.61974769,46.51261
46.18271233,27.72097453,50.574684
46.23528379,27.84586493,29.92868
46.12300718,27.19383165,38.146095
44.90961241,26.9653211,35.200363
45.01981216,27.07796831,37.902122
44.81100016,27.11679978,41.741295
45.03006199,27.23791897,19.63832
44.64324121,23.55849137,38.191433
43.85860514,23.82576589,22.545738
45.82356755,20.77376124,4.321884
45.94556679,20.82427716,10.550484
45.84608059,20.90840255,27.652603
45.76607618,21.15224525,9.427246
45.83182204,21.21793185,0.9023285
45.96067739,27.06129744,29.39463
45.76076244,25.38760439,21.469643
45.94168814,27.40060976,36.51525
45.59512392,25.39259921,22.24369
45.85449501,24.99312522,23.326233
45.84349088,27.10313381,47.720142
44.52075466,27.31140832,54.197063
45.99740176,26.83399585,20.212204
46.15196422,20.39510966,7.5940704
45.7865585,25.21079366,23.674248
45.95359272,20.56517825,14.373863
45.75868967,25.15027837,23.05294
43.76605327,24.2330591,39.673874
46.09874978,27.45250163,37.354042
44.02720791,25.21506827,46.071945
45.75990898,24.49395525,28.43811
45.59247459,27.28668226,39.32509
45.71802225,27.19509021,43.128944
45.89003069,24.34516215,38.65905
45.81453328,27.27934359,40.919655
45.85361781,27.26554218,23.330704
44.99242909,23.54122894,44.971855
45.75457007,27.41879954,43.986084
45.03600006,23.34544909,21.807495
45.10190716,23.25814273,32.44815
45.09167327,27.30981015,44.174442
43.81995241,24.49986165,18.480698
45.65050525,27.49058984,27.79345
45.74676913,27.57525409,35.82875
45.64260625,27.64674419,36.59832
45.01489462,27.54675419,51.73909
45.31349968,22.27358904,32.79483
45.80667562,23.87688226,35.221542
44.946114,27.73360019,46.462395
45.49340137,27.43926039,32.24156
44.00329344,25.61651499,27.395226
45.55482364,27.51209359,16.745308
44.04969363,25.55280907,24.580002
43.9867316,25.48443609,37.282135
45.90291515,23.27210872,28.871552
46.30016876,23.8738921,17.874466
45.8382051,21.66229523,13.470978
44.17469793,23.64882599,9.783508
44.68650934,23.64605903,37.558716
45.73609965,21.43208432,9.581299
45.74160473,21.38122512,5.780533
45.75663291,21.41041208,14.419418
46.92106597,22.54289356,31.48787
44.94037128,24.07015098,23.865387
44.39341495,24.05983497,26.608307
45.76713948,21.64692314,9.485596
45.75868074,21.72321054,17.732887
46.82874782,23.16015774,40.91581
45.68196036,21.75857687,8.048386
43.90739573,23.17968878,26.555473
46.71176398,22.3067804,31.736298
44.42356285,23.83729409,32.930405
47.61326242,26.24681542,31.670235
43.98577173,23.83144161,21.668488
47.93049458,25.96481868,29.932655
47.80575887,26.30914493,26.530289
47.65110882,22.9930331,37.974953
43.99776816,24.01200725,42.81375
44.03649224,23.99621067,55.80066
47.56583579,22.94423127,28.064743
47.55181721,23.21103841,33.830704
46.36468477,25.13825966,34.490448
47.27522176,22.62910085,18.442688
44.09598797,23.55359516,25.316528
46.34768736,25.00047776,26.390533
44.44668245,23.66406166,28.208328
46.51558545,25.23524809,48.70453
46.38518323,25.2505978,49.04475
46.70678237,25.55912458,40.560135
47.43513747,22.50689746,32.873512
46.61022192,22.70713211,45.055046
47.19347103,24.30244205,22.159874
46.67333456,22.32428378,23.011787
47.24951592,22.22032491,32.844757
47.1788665,24.13678893,25.102203
47.33490763,21.94525055,7.452675
47.22243915,26.99134808,48.730007
47.31681801,26.50550019,41.756104
47.25102395,26.81041278,19.22792
47.24400387,26.97133204,36.608315
47.26830277,27.27911277,30.65831
47.15111633,27.32096571,33.507164
46.33955074,27.77418588,32.873
46.58594322,27.40069979,32.106575
47.16384744,22.17327352,32.725212
46.55288289,27.82030303,36.587135
46.53975564,27.78886039,35.360672
46.46868154,27.44203003,36.406765
46.3085852,27.62963337,27.059753
47.15465635,21.93030074,24.729187
46.67478677,27.86233969,19.908386
46.40513756,27.93090733,24.64225
46.34409792,27.8562335,32.56453
46.4703168,27.87267547,33.55635
46.52267149,27.99845737,36.15242
46.30943435,27.95167227,40.61912
46.62705283,28.14280716,39.361774
46.55310111,28.14386079,15.642441
46.58789057,28.15606093,32.063217
45.60437038,27.978112,43.06481
46.15720354,28.08681558,46.214314
45.89604509,27.99729273,25.70314
47.01849022,27.9006918,24.306755
46.01359452,28.06413245,38.522644
47.03075678,22.38237467,30.705215
47.08407995,22.2347001,23.518028
47.03642952,22.49061937,33.336082
45.64302329,27.75276545,39.208374
45.48670892,27.91213643,40.56341
47.36547895,23.2437689,27.750229
45.95647253,27.75145613,33.69355
45.92620465,27.82114348,24.983574
47.18974848,22.58134167,25.936989
45.95676321,27.85810048,40.759735
45.53874638,27.82382644,26.283714
45.61241202,27.7161174,36.659172
44.6982426,26.79624466,27.619774
45.50843956,27.89298811,39.51825
45.99133326,27.76318817,22.314735
47.10182965,26.70709968,26.493164
45.52170683,28.02961716,53.855064
45.4825585,28.14857603,19.823364
47.1620732,22.81584214,22.002121
47.22685469,26.61218186,30.729797
47.27230119,26.43670719,29.48539
47.18705849,26.27364063,39.16311
46.99549705,26.56426789,36.57882
44.87864702,27.37252139,34.030594
46.91998228,26.45895582,27.881401
47.04796909,26.58121963,38.22303
46.99646418,27.0247162,33.20543
47.32020787,23.01672166,21.255554
44.65077344,28.15833854,75.828064
45.19460861,27.78881208,28.927925
44.2019949,28.19210241,67.5972
46.96108847,27.58204333,36.654625
47.0633538,22.09621877,28.83239
46.96636574,27.99112197,35.45688
46.78367731,27.98132515,23.614029
47.05999164,23.05823768,25.627182
47.20581103,22.90724329,20.794022
44.37072278,28.68857011,33.031662
43.97487518,28.53004099,31.597168
44.32812456,28.41487593,44.294983
47.36066636,22.67703738,23.082024
46.77905095,27.79026366,46.76808
47.11162549,23.23217084,34.911697
46.95387063,23.03151124,37.205963
46.95608457,21.7515021,20.332191
47.3883142,22.28026291,20.715607
47.03623725,21.8496824,24.864494
45.19375954,26.68779572,27.66307
46.83184216,21.72352369,4.0913773
47.46809981,22.21860652,29.402176
47.53600908,22.2618201,44.18479
46.88713631,27.5838016,27.355743
46.40924991,23.45219069,39.886826
46.74220648,21.54433924,24.816498
45.67186175,25.49345133,26.885765
