sample_date,lat,long,depth,elevation,mean_temp_2017,NDVI_mean,NDVI_std,NDVI_trend,NDMI_mean,NDMI_std,NDMI_trend,BSI_mean,BSI_std,BSI_trend,SOCI_mean,SOCI_std,SOCI_trend,land_cover_type,main_vegetation_type,soc_in_percent,sand,silt,clay
2018-07-18,34.69405,32.58075,0-20 cm,26,,0.2245992495809212,0.04001568014982467,0.0013592910726647235,0.09565440821100585,0.06248663258509211,0.0022338535454636565,-0.02250551086940316,0.046881900640783895,-0.001405301576750574,7.355374002900661e-05,7.061640650844207e-06,2.0231692452206676e-07,Cropland,Oranges,16.4,48.87548,30.798668,20.325851
2018-04-16,34.72196,32.54419,0-20 cm,64,,0.18211282767571396,0.09137359336293548,-0.0016809272139971805,0.05662577028399429,0.11432758595542568,-0.0002646410406425353,0.001511911164902195,0.08565969992387971,0.00039509323608632644,7.106517651884347e-05,9.360399628111368e-06,-1.9744041713310917e-07,Cropland,Mix of cereals,28.6,44.33387,34.784683,20.881447
2018-07-30,34.74907,32.73422,0-20 cm,524,,0.18000112683886715,0.03975823061147347,0.0011235393216818617,0.02413754139462641,0.04963379087091625,0.0007009140877444714,0.0263202802906774,0.03518060461687011,-5.300827049504813e-05,6.913567645580731e-05,6.315260278935721e-06,-8.508877509860974e-08,Cropland,Permanent industrial crops,39.2,48.091133,27.219765,24.689102
2018-08-05,34.75969,32.69219,0-20 cm,573,,0.16498745576631355,0.026107744468830227,0.00028133405174510424,0.020723933303008816,0.05510354747773992,0.002674081836487866,0.03157782957564641,0.036813815460139274,-0.0013242668065597454,6.130678944120407e-05,7.361531945750214e-06,-1.7376217307964398e-07,Cropland,Permanent industrial crops,9.9,43.097702,31.428072,25.474228
2018-06-15,34.78786,33.31504,0-20 cm,165,,0.16555871453923346,0.07390539082396276,0.002378828209855125,0.020414865967092084,0.08626796393363621,0.0019305841936407523,0.020475058431265104,0.06539207076334516,-0.001203470209262374,6.516416371470701e-05,1.063464037229503e-05,2.5951186180592204e-07,Cropland,Mix of cereals,23.5,41.502327,25.536749,32.960922
2018-08-16,34.80149,33.47897,0-20 cm,58,,0.18183912554295442,0.09843786390975989,0.000875422339563609,0.029657683805929886,0.10167250380006826,0.00088278963498121,0.020860809246316482,0.0779730080518962,-0.0008370422147030227,6.468585168932366e-05,1.2913638035448409e-05,1.467949119487599e-07,Cropland,Permanent industrial crops,17.3,42.256702,32.1209,25.622398
2018-07-16,34.80560,32.43438,0-20 cm,179,,0.14725411849834552,0.02071648704741313,-0.0009591196107643118,0.027183385513458513,0.04197456015866334,-0.0020760308202533388,0.033403609809132206,0.03381945401633664,0.0016523375436113012,6.062153280677583e-05,4.041053304083682e-06,-1.7091128577967738e-07,Cropland,Potatoes,21.8,52.31625,28.756367,18.927383
2018-08-16,34.80780,33.52664,0-20 cm,15,,0.18370148139064668,0.09767269455460649,0.001289241670374089,0.05694888929523591,0.09973689344851068,-0.0005623473912438426,-0.00260995465610154,0.07301053163281226,0.0005028460155763644,7.512680458030818e-05,7.913313997974327e-06,1.691724175090879e-07,Cropland,Potatoes,13.5,50.47567,32.68374,16.840591
2018-09-05,34.81156,33.36834,0-20 cm,128,,0.1771176725599191,0.09879601283463244,0.002195858347454754,0.015799272381368714,0.11640980059424547,0.001831489664540535,0.025766305306104152,0.08920835046061115,-0.0012713645896913846,6.632084937444407e-05,1.3178440276632943e-05,3.979359128305547e-07,Grassland,Spontaneously re-vegetated surfaces,22.1,39.08306,30.840042,30.076897
2018-10-03,34.82509,33.53235,0-20 cm,19,,0.1620640074431335,0.11166359723291154,0.0016044421504555388,0.01398893842190679,0.12072974248994431,1.752561844340328e-05,0.031637783906478,0.09438182395363569,-0.00016381170360302007,6.60301986931153e-05,1.2993924503223692e-05,1.8864841637034407e-07,Bareland,Other bare soil,22,39.019142,32.916977,28.06388
2018-07-15,34.85245,32.47178,0-20 cm,609,,0.1373437109578834,0.028388535840573863,0.0004954566759356587,0.040328364718309036,0.05260986030994413,0.0007467768624693962,0.022252542526048743,0.03538749280353018,-0.00010279481293234407,4.946830378215061e-05,4.283124953799168e-06,-3.730746993985427e-08,Cropland,Vineyards,10.1,49.753433,29.28406,20.96251
2018-08-17,34.87143,33.57050,0-20 cm,46,,0.17120013210621676,0.10107862766882539,0.00032242535186648104,0.03262868733005201,0.0994383179841238,0.0009753732713244031,0.020658293176877663,0.07675969390842198,-0.000740001769761962,6.515327591469088e-05,1.052192843169367e-05,1.5341049707076658e-08,Bareland,Other bare soil,15.4,40.11775,30.897648,28.984604
2018-08-17,34.87693,33.54950,0-20 cm,64,,0.1371138311469474,0.07872933915311416,0.0026196040650257415,0.00999764107596557,0.07419528567061,-0.0003461693338424177,0.03853928639013822,0.055548535677106554,0.000375454587226489,5.814356358401376e-05,7.886524126129564e-06,6.164970234839992e-07,Cropland,Mix of cereals,13.5,38.910084,33.40913,27.680786
2018-08-18,34.89452,32.82604,0-20 cm,826,,0.23900980229411894,0.06060493793227939,-0.0006140934137095281,0.0966319575088952,0.02698973404411139,0.0005029644655883028,-0.040261273360271105,0.01889006097566816,-0.0001260280079781989,8.305249330476272e-05,1.0566186037860752e-05,-3.0313297629265003e-07,Cropland,Apple fruit,10.1,39.86921,22.707853,37.422935
