system:index,BSI,NDMI,NDVI,SOCI,lat,long,sample_date,.geo
0,-0.09966602710940183,0.16804143983287345,0.3714315985392189,9.849292760291597E-5,45.88684934,22.5088857,2018-12-20,"{""type"":""Point"",""coordinates"":[22.508885699999997,45.88684933999999]}"
1,-0.1432888216909333,0.2298527670326737,0.40733059846882247,9.76291476604775E-5,45.93337585,22.72922449,2018-12-20,"{""type"":""Point"",""coordinates"":[22.72922449,45.93337585]}"
2,0.048444892335367966,-0.022266179845665885,0.17868016234276446,7.151666076661884E-5,44.7204723,28.18146242,2018-12-19,"{""type"":""Point"",""coordinates"":[28.181462420000003,44.720472300000004]}"
3,-0.05738351743532311,0.11634200895644681,0.2201015724603979,6.995295710858158E-5,45.86112369,23.31415124,2018-12-19,"{""type"":""Point"",""coordinates"":[23.314151240000005,45.86112368999999]}"
4,0.07127523967356217,-0.04556941981017859,0.16675870105664725,7.33090652606103E-5,44.78567174,28.33373863,2018-12-19,"{""type"":""Point"",""coordinates"":[28.333738630000003,44.785671740000005]}"
5,-0.015720842799528196,0.06269818172531222,0.24411994619597593,7.914409774464021E-5,44.77273911,28.19885488,2018-12-19,"{""type"":""Point"",""coordinates"":[28.198854880000003,44.77273911]}"
6,-0.0012806140873597598,0.05468169449510451,0.20233410725736659,7.026587247626365E-5,45.37783065,27.90215325,2018-12-18,"{""type"":""Point"",""coordinates"":[27.902153249999998,45.37783064999999]}"
7,-0.07968320296564492,0.14051021291455837,0.36113250776993033,9.082863809718488E-5,45.59291307,22.83116171,2018-12-17,"{""type"":""Point"",""coordinates"":[22.83116171,45.59291307]}"
8,-0.11866772881685159,0.20144381115227858,0.25914615931550977,7.73749521230578E-5,46.09103729,23.37159618,2018-12-17,"{""type"":""Point"",""coordinates"":[23.371596180000004,46.09103729]}"
9,-0.062129352555569756,0.12464372542403315,0.25021163301299454,8.16266949213046E-5,44.38122329,24.7987846,2018-12-17,"{""type"":""Point"",""coordinates"":[24.7987846,44.38122329]}"
10,-0.12461679209336325,0.21674403582106938,0.24030185944133703,7.522237637159424E-5,46.09747908,23.32058181,2018-12-17,"{""type"":""Point"",""coordinates"":[23.320581810000004,46.09747908000001]}"
11,-0.05698828549651276,0.11548439114357864,0.2866508239396314,8.371732424991453E-5,45.88955448,23.66215374,2018-12-17,"{""type"":""Point"",""coordinates"":[23.66215374,45.88955448000001]}"
12,-0.10078820790548146,0.16772297535585912,0.3093006240132656,8.456206424048796E-5,45.22066291,14.66846281,2018-12-16,"{""type"":""Point"",""coordinates"":[14.668462809999998,45.22066291]}"
13,-0.09435766558870409,0.1688933327214878,0.2789703702863451,7.32517019638219E-5,45.9607984,23.3914774,2018-12-15,"{""type"":""Point"",""coordinates"":[23.3914774,45.9607984]}"
14,-0.007043839779402488,0.05276348622390098,0.24245016527583366,7.326546890256472E-5,45.96637006,26.2142416,2018-12-14,"{""type"":""Point"",""coordinates"":[26.2142416,45.96637006]}"
15,-0.04459890322512494,0.10681651382319698,0.28503090161665356,7.74548707228047E-5,46.02675928,26.17970137,2018-12-14,"{""type"":""Point"",""coordinates"":[26.179701370000004,46.02675927999999]}"
16,0.0014747781519981412,0.043968172880851454,0.22163369425426446,7.547729837760143E-5,45.93910612,26.15296623,2018-12-14,"{""type"":""Point"",""coordinates"":[26.15296623,45.93910612]}"
17,-0.09947392816629858,0.1786697148908479,0.31089654033518643,9.53656670121934E-5,45.40851887,28.0443136,2018-12-14,"{""type"":""Point"",""coordinates"":[28.0443136,45.40851887000001]}"
18,-0.0026257503010953466,0.0540714566744864,0.24733455995718637,7.546268942921111E-5,45.25614939,28.17747838,2018-12-14,"{""type"":""Point"",""coordinates"":[28.177478379999997,45.256149390000004]}"
19,-0.10872343197905174,0.1820391398273415,0.3866845234868349,9.948228952247063E-5,45.1289444,28.58155612,2018-12-14,"{""type"":""Point"",""coordinates"":[28.581556120000002,45.1289444]}"
20,-0.042168146488950835,0.12209116763754156,0.18741953876391124,7.124973210796813E-5,44.92712332,21.67431559,2018-12-14,"{""type"":""Point"",""coordinates"":[21.674315590000003,44.92712331999999]}"
21,-0.08407701434308637,0.15899287395413148,0.28665547905481453,7.17716081033465E-5,45.53489947,22.55744594,2018-12-14,"{""type"":""Point"",""coordinates"":[22.557445939999997,45.53489946999999]}"
22,-0.03228923053604011,0.09522251143847427,0.18807470380715582,6.51732472794292E-5,44.04069183,24.09886923,2018-12-13,"{""type"":""Point"",""coordinates"":[24.09886923,44.04069183000001]}"
23,-0.10393725224907349,0.17700062675335218,0.342293812284047,9.074295706425767E-5,46.24475882,22.09304155,2018-12-13,"{""type"":""Point"",""coordinates"":[22.093041549999995,46.24475882]}"
24,-0.10432892014565538,0.17803227170113403,0.2956724958290247,9.314542079756998E-5,45.77472721,25.78670384,2018-12-13,"{""type"":""Point"",""coordinates"":[25.78670384,45.77472721]}"
25,-0.03341501797718905,0.08976938294011139,0.24099876049847904,7.735471565328237E-5,46.42478295,21.94950341,2018-12-13,"{""type"":""Point"",""coordinates"":[21.949503410000002,46.42478295]}"
26,-0.07276157623962728,0.13145495871914192,0.3246136174028646,9.03290513291825E-5,45.01967504,24.68568617,2018-12-13,"{""type"":""Point"",""coordinates"":[24.685686170000004,45.01967504]}"
27,-0.07537451652404205,0.15275286181079434,0.29446079145892085,7.559498293963501E-5,46.05595937,26.1090529,2018-12-13,"{""type"":""Point"",""coordinates"":[26.1090529,46.05595937]}"
28,-0.07368684911712248,0.13515328303397012,0.3691096561854858,9.101636507037672E-5,46.14750266,26.11042602,2018-12-13,"{""type"":""Point"",""coordinates"":[26.110426019999995,46.14750266]}"
29,-0.04170593448376078,0.09092251135417893,0.2478954659882762,8.304775063909973E-5,46.45157305,22.03475539,2018-12-13,"{""type"":""Point"",""coordinates"":[22.03475539,46.45157305000001]}"
30,-0.06932706423299194,0.12806331898391876,0.3139959868903344,8.685366325547482E-5,46.33027318,21.98085092,2018-12-13,"{""type"":""Point"",""coordinates"":[21.980850919999998,46.330273180000006]}"
31,0.019893958495850576,0.027484178245860216,0.16220544442428766,5.7213143608873426E-5,45.85323768,25.99479461,2018-12-13,"{""type"":""Point"",""coordinates"":[25.994794610000003,45.85323767999999]}"
32,-0.06378851722196476,0.13499747714926522,0.32161495639206644,7.870695843486282E-5,45.84338366,25.93902395,2018-12-13,"{""type"":""Point"",""coordinates"":[25.93902395,45.84338366]}"
33,-0.04090264996092917,0.09069806756207072,0.2158916266781854,7.576603846902383E-5,46.09687125,26.2011706,2018-12-13,"{""type"":""Point"",""coordinates"":[26.201170600000005,46.09687125]}"
34,-0.12545784596512294,0.19382528161484724,0.3475773466077257,1.0226933635691394E-4,44.97338977,24.36288796,2018-12-12,"{""type"":""Point"",""coordinates"":[24.36288796,44.97338976999999]}"
35,-0.02969826270691234,0.09331715145796643,0.20366035532140478,7.748769493455802E-5,45.24224979,21.45767984,2018-12-12,"{""type"":""Point"",""coordinates"":[21.45767984,45.24224979000001]}"
36,-0.058777442097768084,0.10863264037908374,0.34146888642669554,9.31032889359183E-5,46.16144807,21.36575221,2018-12-12,"{""type"":""Point"",""coordinates"":[21.365752209999997,46.16144807]}"
37,-0.07133714172302717,0.1518767055837114,0.1785018609200266,6.911573314068593E-5,45.39277763,21.4117129,2018-12-12,"{""type"":""Point"",""coordinates"":[21.411712899999998,45.39277763]}"
38,-0.0012141143011733294,0.03716395179002673,0.20696532590115352,9.396003632029328E-5,46.05601819,21.50033244,2018-12-12,"{""type"":""Point"",""coordinates"":[21.50033244,46.05601819]}"
39,-0.05773037503966323,0.12042144358924606,0.2651564501998938,7.488661581275249E-5,46.0432809,25.7077107,2018-12-12,"{""type"":""Point"",""coordinates"":[25.707710700000003,46.0432809]}"
40,-0.08104040442547317,0.13913679076196425,0.3499867418969134,7.830372785543781E-5,46.02950472,25.67715448,2018-12-12,"{""type"":""Point"",""coordinates"":[25.67715448,46.029504720000006]}"
41,-0.004354335538799816,0.08433315492836775,0.19178801765747827,6.705107452864017E-5,45.28193522,21.2596505,2018-12-11,"{""type"":""Point"",""coordinates"":[21.2596505,45.28193522000001]}"
42,-0.12749419858280037,0.1931489097087511,0.3413846244503344,9.033680214218164E-5,45.0583937,24.54058909,2018-12-11,"{""type"":""Point"",""coordinates"":[24.540589089999997,45.05839370000001]}"
43,0.04384909426262475,-0.009481267394219856,0.19018690971767202,6.84265125799941E-5,44.05267033,24.40696359,2018-12-11,"{""type"":""Point"",""coordinates"":[24.40696359,44.05267033]}"
44,0.04292907280577457,-0.02555995511609311,0.09582668551012073,6.670037830568326E-5,44.03796288,24.25066392,2018-12-11,"{""type"":""Point"",""coordinates"":[24.250663920000004,44.03796288]}"
