sample_date,lat,long,depth,elevation,NDVI_mean,NDVI_std,NDVI_trend,NDMI_mean,NDMI_std,NDMI_trend,BSI_mean,BSI_std,BSI_trend,SOCI_mean,SOCI_std,SOCI_trend,land_cover_type,main_vegetation_type,soc_in_percent,sand,silt,clay
2018-07-18,34.69405,32.58075,0-20 cm,26,0.2245992495809212,0.0400156801498246,0.0013592910726647,0.0956544082110058,0.0624866325850921,0.0022338535454636,-0.0225055108694031,0.0468819006407838,-0.0014053015767505,7.355374002900661e-05,7.061640650844207e-06,2.023169245220668e-07,Cropland,Oranges,1.64,48.87548,30.798668,20.325851
2018-04-16,34.72196,32.54419,0-20 cm,64,0.1821128276757139,0.0913735933629354,-0.0016809272139971,0.0566257702839942,0.1143275859554256,-0.0002646410406425,0.0015119111649021,0.0856596999238797,0.0003950932360863,7.106517651884347e-05,9.360399628111368e-06,-1.9744041713310922e-07,Cropland,Mix of cereals,2.8600000000000003,44.33387,34.784683,20.881447
2018-07-30,34.74907,32.73422,0-20 cm,524,0.1800011268388671,0.0397582306114734,0.0011235393216818,0.0241375413946264,0.0496337908709162,0.0007009140877444,0.0263202802906774,0.0351806046168701,-5.300827049504813e-05,6.913567645580731e-05,6.315260278935721e-06,-8.508877509860974e-08,Cropland,Permanent industrial crops,3.9200000000000004,48.091133,27.219765,24.689102
2018-08-05,34.75969,32.69219,0-20 cm,573,0.1649874557663135,0.0261077444688302,0.0002813340517451,0.0207239333030088,0.0551035474777399,0.0026740818364878,0.0315778295756464,0.0368138154601392,-0.0013242668065597,6.130678944120407e-05,7.361531945750214e-06,-1.73762173079644e-07,Cropland,Permanent industrial crops,0.99,43.097702,31.428072,25.474228
2018-06-15,34.78786,33.31504,0-20 cm,165,0.1655587145392334,0.0739053908239627,0.0023788282098551,0.020414865967092,0.0862679639336362,0.0019305841936407,0.0204750584312651,0.0653920707633451,-0.0012034702092623,6.516416371470701e-05,1.063464037229503e-05,2.5951186180592204e-07,Cropland,Mix of cereals,2.35,41.502327,25.536749,32.960922
2018-08-16,34.80149,33.47897,0-20 cm,58,0.1818391255429544,0.0984378639097598,0.0008754223395636,0.0296576838059298,0.1016725038000682,0.0008827896349812,0.0208608092463164,0.0779730080518962,-0.000837042214703,6.468585168932366e-05,1.2913638035448409e-05,1.467949119487599e-07,Cropland,Permanent industrial crops,1.73,42.256702,32.1209,25.622398
2018-07-16,34.8056,32.43438,0-20 cm,179,0.1472541184983455,0.0207164870474131,-0.0009591196107643,0.0271833855134585,0.0419745601586633,-0.0020760308202533,0.0334036098091322,0.0338194540163366,0.0016523375436113,6.062153280677583e-05,4.041053304083682e-06,-1.709112857796774e-07,Cropland,Potatoes,2.18,52.31625,28.756367,18.927383
2018-08-16,34.8078,33.52664,0-20 cm,15,0.1837014813906466,0.0976726945546064,0.001289241670374,0.0569488892952359,0.0997368934485106,-0.0005623473912438,-0.0026099546561015,0.0730105316328122,0.0005028460155763,7.512680458030818e-05,7.913313997974327e-06,1.691724175090879e-07,Cropland,Potatoes,1.35,50.47567,32.68374,16.840591
2018-09-05,34.81156,33.36834,0-20 cm,128,0.1771176725599191,0.0987960128346324,0.0021958583474547,0.0157992723813687,0.1164098005942454,0.0018314896645405,0.0257663053061041,0.0892083504606111,-0.0012713645896913,6.632084937444407e-05,1.3178440276632944e-05,3.979359128305547e-07,Grassland,Spontaneously re-vegetated surfaces,2.21,39.08306,30.840042,30.076897
2018-10-03,34.82509,33.53235,0-20 cm,19,0.1620640074431335,0.1116635972329115,0.0016044421504555,0.0139889384219067,0.1207297424899443,1.752561844340328e-05,0.031637783906478,0.0943818239536356,-0.000163811703603,6.60301986931153e-05,1.2993924503223692e-05,1.886484163703441e-07,Bareland,Other bare soil,2.2,39.019142,32.916977,28.06388
2018-07-15,34.85245,32.47178,0-20 cm,609,0.1373437109578834,0.0283885358405738,0.0004954566759356,0.040328364718309,0.0526098603099441,0.0007467768624693,0.0222525425260487,0.0353874928035301,-0.0001027948129323,4.946830378215061e-05,4.283124953799168e-06,-3.730746993985427e-08,Cropland,Vineyards,1.01,49.753433,29.28406,20.96251
2018-08-17,34.87143,33.5705,0-20 cm,46,0.1712001321062167,0.1010786276688253,0.0003224253518664,0.032628687330052,0.0994383179841238,0.0009753732713244,0.0206582931768776,0.0767596939084219,-0.0007400017697619,6.515327591469088e-05,1.052192843169367e-05,1.5341049707076658e-08,Bareland,Other bare soil,1.54,40.11775,30.897648,28.984604
2018-08-17,34.87693,33.5495,0-20 cm,64,0.1371138311469474,0.0787293391531141,0.0026196040650257,0.0099976410759655,0.07419528567061,-0.0003461693338424,0.0385392863901382,0.0555485356771065,0.0003754545872264,5.814356358401376e-05,7.886524126129564e-06,6.164970234839992e-07,Cropland,Mix of cereals,1.35,38.910084,33.40913,27.680786
2018-08-18,34.89452,32.82604,0-20 cm,826,0.2390098022941189,0.0606049379322793,-0.0006140934137095,0.0966319575088952,0.0269897340441113,0.0005029644655883,-0.0402612733602711,0.0188900609756681,-0.0001260280079781,8.305249330476272e-05,1.0566186037860752e-05,-3.031329762926501e-07,Cropland,Apple fruit,1.01,39.86921,22.707853,37.422935
2018-10-04,34.89929,32.50924,0-20 cm,415,0.1529944921429143,0.0405334998385245,-0.0003059484769344,0.042267509499994,0.0567594973358268,0.0003083207627229,0.0144405913852337,0.0388918774752047,0.0001196754683601,6.484679734321485e-05,7.89219785723854e-06,-7.018811146678106e-08,Cropland,Olive groves,0.22999999999999998,46.699486,25.525896,27.77462
