system:index,BSI,NDMI,NDVI,SOCI,lat,long,sample_date,.geo
1,0.0107742645151067,0.0316839920053266,0.202896424602832,8.345318230311077e-05,45.93337585,22.72922449,2018-12-20,"{""type"":""Point"",""coordinates"":[22.72922449,45.93337585]}"
2,0.0170806208724953,0.0362656341197229,0.107023510846408,7.283063287177484e-05,44.7204723,28.18146242,2018-12-19,"{""type"":""Point"",""coordinates"":[28.181462420000003,44.720472300000004]}"
3,0.0125556633499212,0.0195635186660892,0.1933663164067247,8.028359159244431e-05,45.86112369,23.31415124,2018-12-19,"{""type"":""Point"",""coordinates"":[23.314151240000005,45.86112368999999]}"
4,-0.0258088312394653,0.1323427532547079,0.1192721816038177,7.054519134601924e-05,44.78567174,28.33373863,2018-12-19,"{""type"":""Point"",""coordinates"":[28.333738630000003,44.785671740000005]}"
5,0.0489151274301246,-0.0096818935042011,0.1059137503431592,7.984477908873557e-05,44.77273911,28.19885488,2018-12-19,"{""type"":""Point"",""coordinates"":[28.198854880000003,44.77273911]}"
6,-0.0320811903289957,0.1466490153917041,0.0441462048522582,5.682962399837335e-05,45.37783065,27.90215325,2018-12-18,"{""type"":""Point"",""coordinates"":[27.902153249999998,45.37783064999999]}"
7,-0.0564705755157962,0.1157065911307851,0.3276908601473746,8.88136776377051e-05,45.59291307,22.83116171,2018-12-17,"{""type"":""Point"",""coordinates"":[22.83116171,45.59291307]}"
11,0.0014490051324698,0.0308701382863776,0.1767522397441159,8.550749065295844e-05,45.88955448,23.66215374,2018-12-17,"{""type"":""Point"",""coordinates"":[23.66215374,45.88955448000001]}"
13,0.0356126630764336,-0.0096360417200143,0.1092325803418989,6.809898743998504e-05,45.9607984,23.3914774,2018-12-15,"{""type"":""Point"",""coordinates"":[23.3914774,45.9607984]}"
14,0.046996552621216,0.0380487135047457,0.1778091133737856,6.933797045734708e-05,45.96637006,26.2142416,2018-12-14,"{""type"":""Point"",""coordinates"":[26.2142416,45.96637006]}"
15,0.0501248885539516,0.0286456950956675,0.1227344465466727,7.784424542961437e-05,46.02675928,26.17970137,2018-12-14,"{""type"":""Point"",""coordinates"":[26.179701370000004,46.02675927999999]}"
16,0.0238960501207372,0.0712470982745091,0.1059737463075043,6.816718317138316e-05,45.93910612,26.15296623,2018-12-14,"{""type"":""Point"",""coordinates"":[26.15296623,45.93910612]}"
18,0.0080695525240153,0.0576765605674849,0.1220033396681149,7.43627790814369e-05,45.25614939,28.17747838,2018-12-14,"{""type"":""Point"",""coordinates"":[28.177478379999997,45.256149390000004]}"
19,-0.0537967991147226,0.0989058020198675,0.2413852396775486,0.00011286753674144892,45.1289444,28.58155612,2018-12-14,"{""type"":""Point"",""coordinates"":[28.581556120000002,45.1289444]}"
21,-0.0448681627170521,0.1082286915904738,0.2271799016693782,7.756738203724915e-05,45.53489947,22.55744594,2018-12-14,"{""type"":""Point"",""coordinates"":[22.557445939999997,45.53489946999999]}"
22,-0.010755634853897,0.0453908901338435,0.0824412493400922,5.9495003901679305e-05,44.04069183,24.09886923,2018-12-13,"{""type"":""Point"",""coordinates"":[24.09886923,44.04069183000001]}"
23,-0.0260578830533059,0.0727053486671683,0.246205936803391,9.683587890887856e-05,46.24475882,22.09304155,2018-12-13,"{""type"":""Point"",""coordinates"":[22.093041549999995,46.24475882]}"
24,0.0311379998001636,0.0477471673415482,0.1151793645686689,7.254666015764945e-05,45.77472721,25.78670384,2018-12-13,"{""type"":""Point"",""coordinates"":[25.78670384,45.77472721]}"
25,-0.0028935167950655,0.0645812049353143,0.2527250786872009,7.754145482671246e-05,46.42478295,21.94950341,2018-12-13,"{""type"":""Point"",""coordinates"":[21.949503410000002,46.42478295]}"
27,-0.0195269921414834,0.125510798038773,0.120203199740157,7.166664975526038e-05,46.05595937,26.1090529,2018-12-13,"{""type"":""Point"",""coordinates"":[26.1090529,46.05595937]}"
28,0.0526965477988254,-0.0215090301944735,0.1830982421043666,7.717516782831997e-05,46.14750266,26.11042602,2018-12-13,"{""type"":""Point"",""coordinates"":[26.110426019999995,46.14750266]}"
29,-0.004174329360984,0.0518403715786484,0.217962889111856,8.311185351103648e-05,46.45157305,22.03475539,2018-12-13,"{""type"":""Point"",""coordinates"":[22.03475539,46.45157305000001]}"
30,-0.0324331892335175,0.0785080658962259,0.3166802256413691,9.279495844038669e-05,46.33027318,21.98085092,2018-12-13,"{""type"":""Point"",""coordinates"":[21.980850919999998,46.330273180000006]}"
31,0.0443220855403982,0.0144229329660524,0.0909523442982042,7.892118825395352e-05,45.85323768,25.99479461,2018-12-13,"{""type"":""Point"",""coordinates"":[25.994794610000003,45.85323767999999]}"
32,0.044219472816774,0.0221429438826015,0.174273272650642,7.368188388764709e-05,45.84338366,25.93902395,2018-12-13,"{""type"":""Point"",""coordinates"":[25.93902395,45.84338366]}"
33,0.0653318606069125,-0.0054134275134646,0.187087058629547,7.459819642307023e-05,46.09687125,26.2011706,2018-12-13,"{""type"":""Point"",""coordinates"":[26.201170600000005,46.09687125]}"
35,-0.0101879806086657,0.0591787791254768,0.1940431712530948,7.760605069386191e-05,45.24224979,21.45767984,2018-12-12,"{""type"":""Point"",""coordinates"":[21.45767984,45.24224979000001]}"
36,-0.0715795330332032,0.132892147247139,0.3412011035985046,9.1797809679386e-05,46.16144807,21.36575221,2018-12-12,"{""type"":""Point"",""coordinates"":[21.365752209999997,46.16144807]}"
37,-0.0054197169735999,0.0455646808284179,0.177677053551661,8.422837589329278e-05,45.39277763,21.4117129,2018-12-12,"{""type"":""Point"",""coordinates"":[21.411712899999998,45.39277763]}"
38,0.0111444544211658,0.0337127127086466,0.1756040737149609,8.97969485556296e-05,46.05601819,21.50033244,2018-12-12,"{""type"":""Point"",""coordinates"":[21.50033244,46.05601819]}"
39,-0.0036715200273283,0.0608706613182502,0.2180066851683045,8.762685595413772e-05,46.0432809,25.7077107,2018-12-12,"{""type"":""Point"",""coordinates"":[25.707710700000003,46.0432809]}"
40,-0.0352463864645099,0.0968435186347583,0.302476093666271,8.389274956937757e-05,46.02950472,25.67715448,2018-12-12,"{""type"":""Point"",""coordinates"":[25.67715448,46.029504720000006]}"
41,0.0374527660256202,-0.0195623625844585,0.1392348498106002,9.272340576311746e-05,45.28193522,21.2596505,2018-12-11,"{""type"":""Point"",""coordinates"":[21.2596505,45.28193522000001]}"
43,-0.0108351776738781,0.0503047355564471,0.0766900500223647,5.09989250486093e-05,44.05267033,24.40696359,2018-12-11,"{""type"":""Point"",""coordinates"":[24.40696359,44.05267033]}"
44,-0.0060728372273323,0.0608624172046332,0.1448310881907437,5.7043259606267726e-05,44.03796288,24.25066392,2018-12-11,"{""type"":""Point"",""coordinates"":[24.250663920000004,44.03796288]}"
46,0.0199311514799414,0.0222302719369912,0.1815987252739338,8.211753760538804e-05,46.27602906,25.24552925,2018-12-11,"{""type"":""Point"",""coordinates"":[25.245529249999997,46.27602906]}"
47,0.0298642151645582,0.0105251555023317,0.2171676365468641,8.180826201207965e-05,46.23350622,25.28630735,2018-12-11,"{""type"":""Point"",""coordinates"":[25.286307350000005,46.23350622]}"
48,-0.00794513922199,0.0577479243940232,0.202794268622733,9.405362128618115e-05,46.26866207,25.29650757,2018-12-11,"{""type"":""Point"",""coordinates"":[25.29650757,46.268662070000005]}"
