system:index,BSI,NDMI,NDVI,SOCI,lat,long,sample_date,.geo
0,1.5411963481209949E-4,0.046435836868336015,0.200892762347465,7.590014602381752E-5,45.93337585,22.72922449,2018-12-20,"{""type"":""Point"",""coordinates"":[22.72922449,45.93337585]}"
1,0.042691451833593505,-0.00959822090783086,0.17614325668514852,7.07913326951196E-5,44.77273911,28.19885488,2018-12-19,"{""type"":""Point"",""coordinates"":[28.198854880000003,44.77273911]}"
2,0.00940177478622358,0.036487791378216526,0.24227414264640043,7.742931363528514E-5,44.78567174,28.33373863,2018-12-19,"{""type"":""Point"",""coordinates"":[28.333738630000003,44.785671740000005]}"
3,0.00654878712114932,0.030576949209333106,0.27303095245509945,8.703427245455422E-5,45.86112369,23.31415124,2018-12-19,"{""type"":""Point"",""coordinates"":[23.314151240000005,45.86112368999999]}"
4,0.050268564048162656,-0.029094301485925088,0.20149090933884664,7.945640153191047E-5,44.7204723,28.18146242,2018-12-19,"{""type"":""Point"",""coordinates"":[28.181462420000003,44.720472300000004]}"
5,-0.017026166369956037,0.06329626070675815,0.24337211743141837,8.01518342358764E-5,45.37783065,27.90215325,2018-12-18,"{""type"":""Point"",""coordinates"":[27.902153249999998,45.37783064999999]}"
6,-0.059359984088616306,0.11581042312998756,0.3451744389735149,9.204756948023954E-5,45.59291307,22.83116171,2018-12-17,"{""type"":""Point"",""coordinates"":[22.83116171,45.59291307]}"
7,-0.07432574108309276,0.1346419067238043,0.34381751342282174,9.722317905257228E-5,45.88955448,23.66215374,2018-12-17,"{""type"":""Point"",""coordinates"":[23.66215374,45.88955448000001]}"
8,0.03477686365190959,-0.008602666008769938,0.21824638715323205,8.152513415012763E-5,45.9607984,23.3914774,2018-12-15,"{""type"":""Point"",""coordinates"":[23.3914774,45.9607984]}"
9,-0.059258353078129065,0.11718271526881716,0.3408207701728659,8.987497925494182E-5,45.93910612,26.15296623,2018-12-14,"{""type"":""Point"",""coordinates"":[26.15296623,45.93910612]}"
10,-0.05831778952223391,0.12954430987341797,0.3313359748784332,8.574488511711839E-5,45.96637006,26.2142416,2018-12-14,"{""type"":""Point"",""coordinates"":[26.2142416,45.96637006]}"
11,-0.07876307820782878,0.14506870153340892,0.30411362914817075,8.768509828398837E-5,45.1289444,28.58155612,2018-12-14,"{""type"":""Point"",""coordinates"":[28.581556120000002,45.1289444]}"
12,0.012082784016513162,0.02830788588710129,0.22550515891446007,7.788806449389084E-5,45.25614939,28.17747838,2018-12-14,"{""type"":""Point"",""coordinates"":[28.177478379999997,45.256149390000004]}"
13,-0.18350845107198815,0.2801818691787467,0.4652338567297015,9.547556982019225E-5,46.02675928,26.17970137,2018-12-14,"{""type"":""Point"",""coordinates"":[26.179701370000004,46.02675927999999]}"
14,-0.09396307082855115,0.15252355202163817,0.40811417052029497,9.791822438420639E-5,45.53489947,22.55744594,2018-12-14,"{""type"":""Point"",""coordinates"":[22.557445939999997,45.53489946999999]}"
15,-0.07147200955814326,0.12921721229959218,0.314987416659926,8.998032076507614E-5,46.24475882,22.09304155,2018-12-13,"{""type"":""Point"",""coordinates"":[22.093041549999995,46.24475882]}"
16,-0.0688623277023565,0.12014138881254112,0.3802668560302821,9.56758880971351E-5,46.14750266,26.11042602,2018-12-13,"{""type"":""Point"",""coordinates"":[26.110426019999995,46.14750266]}"
17,-0.21357342456830739,0.32619809647295506,0.4871893020756279,9.202727307883382E-5,45.85323768,25.99479461,2018-12-13,"{""type"":""Point"",""coordinates"":[25.994794610000003,45.85323767999999]}"
18,-0.03607147839734448,0.08899032289709348,0.30708372146151697,8.790360974213858E-5,45.84338366,25.93902395,2018-12-13,"{""type"":""Point"",""coordinates"":[25.93902395,45.84338366]}"
19,0.03627075099101349,1.2033445841407374E-4,0.2259972303153173,7.663320255100082E-5,44.04069183,24.09886923,2018-12-13,"{""type"":""Point"",""coordinates"":[24.09886923,44.04069183000001]}"
20,0.027885870154795715,-0.013596779989423156,0.17597001915927993,7.939590547926475E-5,46.45157305,22.03475539,2018-12-13,"{""type"":""Point"",""coordinates"":[22.03475539,46.45157305000001]}"
21,-0.016701870338610286,0.06064803461980572,0.2050458222783946,7.111168697456444E-5,46.33027318,21.98085092,2018-12-13,"{""type"":""Point"",""coordinates"":[21.980850919999998,46.330273180000006]}"
22,-0.009132964271838991,0.05168798412527224,0.17080208182696452,7.099274242284911E-5,46.42478295,21.94950341,2018-12-13,"{""type"":""Point"",""coordinates"":[21.949503410000002,46.42478295]}"
23,-0.039233162472327936,0.0847338370835301,0.2588324523587987,9.850190355995593E-5,46.09687125,26.2011706,2018-12-13,"{""type"":""Point"",""coordinates"":[26.201170600000005,46.09687125]}"
24,-0.09959322522989393,0.17486743165358026,0.34973511919966915,9.543110178570294E-5,45.77472721,25.78670384,2018-12-13,"{""type"":""Point"",""coordinates"":[25.78670384,45.77472721]}"
25,-0.06167250010246054,0.12152288871721956,0.3223340719912204,8.650480498830084E-5,46.05595937,26.1090529,2018-12-13,"{""type"":""Point"",""coordinates"":[26.1090529,46.05595937]}"
26,0.07209388075366428,-0.052329493439981244,0.10840457458588858,7.055699538934329E-5,45.39277763,21.4117129,2018-12-12,"{""type"":""Point"",""coordinates"":[21.411712899999998,45.39277763]}"
27,0.04381748932239339,-0.007736427183328822,0.2046981260522726,7.159794289877887E-5,45.24224979,21.45767984,2018-12-12,"{""type"":""Point"",""coordinates"":[21.45767984,45.24224979000001]}"
28,-0.0342815517730771,0.10295752393773995,0.22287084479971078,7.429495665844161E-5,46.05601819,21.50033244,2018-12-12,"{""type"":""Point"",""coordinates"":[21.50033244,46.05601819]}"
29,-0.03684057776288657,0.08897594819692049,0.21607383287192644,7.941647757567675E-5,46.16144807,21.36575221,2018-12-12,"{""type"":""Point"",""coordinates"":[21.365752209999997,46.16144807]}"
30,-0.026537853640641405,0.07667289847798754,0.3060457885343299,8.465892151735987E-5,46.0432809,25.7077107,2018-12-12,"{""type"":""Point"",""coordinates"":[25.707710700000003,46.0432809]}"
31,-0.06530273350066008,0.12052415125721008,0.3569574406182309,8.987895869830451E-5,46.02950472,25.67715448,2018-12-12,"{""type"":""Point"",""coordinates"":[25.67715448,46.029504720000006]}"
32,-0.0715206085839643,0.12700436501103193,0.31265030827392837,8.840614310587063E-5,46.38057031,25.78191198,2018-12-11,"{""type"":""Point"",""coordinates"":[25.781911979999997,46.38057031]}"
33,0.096997230557295,-0.08711163475772374,0.1381243053874279,7.507090019699549E-5,44.05267033,24.40696359,2018-12-11,"{""type"":""Point"",""coordinates"":[24.40696359,44.05267033]}"
34,0.09416035835103981,-0.09365977409381483,0.119752074392307,7.797503060620505E-5,44.03796288,24.25066392,2018-12-11,"{""type"":""Point"",""coordinates"":[24.250663920000004,44.03796288]}"
35,-0.0297892743645677,0.08089249143950443,0.2866030997642723,8.958907689165577E-5,46.27602906,25.24552925,2018-12-11,"{""type"":""Point"",""coordinates"":[25.245529249999997,46.27602906]}"
36,-0.07481911808979853,0.13389098623470316,0.3654869200877761,9.634005470743765E-5,46.23350622,25.28630735,2018-12-11,"{""type"":""Point"",""coordinates"":[25.286307350000005,46.23350622]}"
