loc_id,BSI_mean,BSI_std,BSI_trend,NDMI_mean,NDMI_std,NDMI_trend,NDVI_mean,NDVI_std,NDVI_trend,SOCI_mean,SOCI_std,SOCI_trend,lat,long,sample_date
0,-0.039565550045389385,0.04374247357484057,0.001582033409658617,0.09918661878097436,0.059448903292663204,-0.0015202874828920817,0.20155626996927598,0.10002590857431934,-0.005998591090452283,7.791075678824266e-05,1.4724893002507683e-05,-9.97458520761961e-07,45.88684933999999,22.508885699999997,2018-12-20
1,-0.008159559532840926,0.05824334046513204,0.0038917088317722208,0.06610573864610261,0.08240051986515562,-0.0049978574104348325,0.19248106814765795,0.0997582508240935,-0.004257304408770348,7.42020652974232e-05,1.1015446009017576e-05,-7.483395294712196e-07,45.93337585,22.72922449,2018-12-20
2,0.028920153671507326,0.05365971557910151,-0.0008344448480081226,0.015149705345311631,0.10657162421828634,0.0025192575964638588,0.15528916216317637,0.06833282921553067,-0.0004698487983018521,7.508295755872076e-05,1.0435707765705331e-05,-3.795135781590813e-07,44.720472300000004,28.181462420000003,2018-12-19
3,-0.0393970983163354,0.042867318228566285,0.000508158432932502,0.10543502570424959,0.07206237631276866,-0.0001465140880612626,0.2188346659467752,0.10073819480680493,-0.0010013323152251415,7.664383758046557e-05,1.25367055835126e-05,-1.0780535378127513e-08,45.86112368999999,23.314151240000005,2018-12-19
4,0.0114501732847822,0.042428097355493244,0.0024150129002853938,0.04363684332434038,0.07004924360925838,-0.0038792093387194425,0.17004265742456454,0.06663176964356565,-0.0018502777610268824,7.174038636644867e-05,1.0845382834115544e-05,-2.713581000238615e-07,44.785671740000005,28.333738630000003,2018-12-19
5,0.0017990816034050695,0.038830964372301775,1.4779747727311686e-05,0.05033035028351488,0.06121076197413747,0.00020484273891144597,0.15436436039886572,0.07850546391651497,-0.0005669059467983276,7.411391882698761e-05,6.552456954615888e-06,-3.369132335711891e-07,44.77273911,28.198854880000003,2018-12-19
6,-0.041559427926142256,0.06038703917537812,0.0032346938436174995,0.10418292031798711,0.07595989952705098,-0.004188849374441511,0.21688978623907323,0.10850976599350433,0.001499738376032124,7.822415955630715e-05,1.3430340876624669e-05,7.432011776720986e-07,45.37783064999999,27.902153249999998,2018-12-18
7,-0.05563456722231771,0.03792040797305,-0.0003985172136833241,0.11995261859873022,0.049720634767382414,0.0008961762532765846,0.23933855796817363,0.10845652174403034,-0.0009068174607705146,8.164260396614675e-05,1.4185267585736245e-05,6.002693752743105e-07,45.59291307,22.83116171,2018-12-17
8,-0.02648375478034969,0.05897572875662091,0.0032613948699335292,0.0803112005267854,0.08321563414865064,-0.004401115469042104,0.185273204873652,0.10869504674507927,-0.004552820577355601,7.731314817563108e-05,1.0843530356379569e-05,-6.831228955685756e-07,46.09103729,23.371596180000004,2018-12-17
9,-0.04465059211647487,0.07365195974371284,0.0031857598703654354,0.13038199650723845,0.15345798403384744,-0.005276568955566053,0.17282497720317863,0.11948511204477434,0.002692528723360747,7.047596276305535e-05,1.7945150093778103e-05,3.4107057384766127e-07,44.38122329,24.7987846,2018-12-17
10,-0.07142021840373965,0.05343860756312355,0.0006664822899801727,0.15623269188054148,0.10758194029205155,-0.0014419706207350995,0.22626630845513884,0.12831151886472245,0.004731102602231647,7.545957070417182e-05,1.9752642205991643e-05,2.508916367439933e-07,46.09747908000001,23.320581810000004,2018-12-17
11,-0.06028035852124983,0.054060679291370546,,0.12330981713706245,0.08313869399543526,,0.24917985783117932,0.10273237253466971,,8.748980966311e-05,1.552791883366021e-05,,45.88955448000001,23.66215374,2018-12-17
12,-0.03143458716449495,0.04543566905911799,0.0018555340908113695,0.09180968273949484,0.06903856460429383,-0.0014887604003437633,0.2070929118767228,0.09335430872024975,-0.0011540501682346968,7.57742387209465e-05,1.4917794985454526e-05,-6.41539900779927e-07,45.22066291,14.668462809999998,2018-12-16
13,-0.025359105786602144,0.07574123079253096,0.002627158621122746,0.09521945759285914,0.13726385508713884,-0.004957393150358154,0.17455790266303486,0.12102775107951855,-0.00020811482717012628,7.32238122838851e-05,1.7238287016496453e-05,8.030909665649088e-07,45.9607984,23.3914774,2018-12-15
14,-0.057268014255392484,0.05672065126588034,-0.0021186630075182605,0.13092867996004134,0.07174388665084225,0.0018417851055833251,0.24953867438221788,0.109178782443923,0.0005660125555920929,7.590457992723374e-05,1.5830960883783086e-05,2.2143078214447547e-07,45.96637006,26.2142416,2018-12-14
